video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3386140,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[1104.03,392.99]]",[1.082301308],2880261,"2025-04-03 11:38:25","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386141,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[429.16,521.66]]",[3.8159340443323337],2880262,"2025-04-03 11:38:37","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386142,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[519.22,420.32]]",[4.788441483667415],2880263,"2025-04-03 11:38:47","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386143,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[852.09,282.53]]",[7.544921348340084],2880264,"2025-04-03 11:39:01","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386576,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[523.78,334.91]]",[11.528430581671921],2880697,"2025-04-03 15:01:57","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386579,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[929.61,630.98]]",[14.338274228002497],2880700,"2025-04-03 15:02:19","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386621,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[1386.58,173.93]]",[29.63797179233261],2880742,"2025-04-03 16:11:20","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386622,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[299.79,185.7]]",[29.63797179233261],2880743,"2025-04-03 16:11:22","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386623,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[237.38,197.46]]",[45.198157756326076],2880744,"2025-04-03 16:11:47","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
3386624,377314,"Whitetail (Acanthurus thompsoni)","Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni)",3843,Max,Romes,37263,30.10.2024_Utumbi_C8_Glasnudel_ganz.mp4,1,Point,"[[511.73,317.43]]",[45.198157756326076],2880745,"2025-04-03 16:11:48","{""mimetype"":""video\/mp4"",""size"":8006832334,""width"":1920,""height"":1080}"
