video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
4523430,377501,"Humpnose Bigeye (Monotaxis grandoculis)","Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[154.87,451.43]]",[3.619089],3762894,"2026-03-02 14:51:45","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523431,377501,"Humpnose Bigeye (Monotaxis grandoculis)","Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[65.57,494.09]]",[3.619089],3762895,"2026-03-02 14:51:47","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523435,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[27.29,700.2]]",[8.028601],3762899,"2026-03-02 14:52:19","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523445,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[319.03,383.86]]",[22.751742],3762909,"2026-03-02 14:53:26","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523458,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[201.21,380.75]]",[94.670966],3762922,"2026-03-02 14:56:27","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523459,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[249.5,356.62]]",[94.670966],3762923,"2026-03-02 14:56:27","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523460,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[268.28,411.59]]",[94.670966],3762924,"2026-03-02 14:56:27","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523461,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[440,391.48]]",[94.670966],3762925,"2026-03-02 14:56:28","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523462,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[36.2,415.61]]",[94.670966],3762926,"2026-03-02 14:56:33","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523463,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[45.59,384.77]]",[94.670966],3762927,"2026-03-02 14:56:38","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523465,375532,"Snappers (Lutjanidae)","Sloping Heads > Snappers (Lutjanidae)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[218.65,286.89]]",[99.548358],3762929,"2026-03-02 14:56:49","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
4523471,426409,"Monk (Acanthurus gahhm)","Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm)",3843,Max,Romes,49346,GH010073.mp4,1,Point,"[[1509.18,501.42]]",[148.273598],3762935,"2026-03-02 14:58:08","{""mimetype"":""video\/mp4"",""size"":221494770,""width"":1920,""height"":1080,""error"":6}"
