video_annotation_label_id,label_name,label_hierarchy,video_id,video_filename,frames,annotation_id
3614664,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),38041,05.12.24_Schnur_Nursery_ganz.mp4,[10.889556],3075008
3614665,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[10.889556],3075009
3614666,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[10.889556],3075010
3614667,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),38041,05.12.24_Schnur_Nursery_ganz.mp4,[10.889556],3075011
3614668,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38041,05.12.24_Schnur_Nursery_ganz.mp4,[12.633536],3075012
3614669,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[15.273162],3075013
3614670,Blackwhite (Macolor niger),Sloping Heads > Snappers (Lutjanidae) > Blackwhite (Macolor niger),38041,05.12.24_Schnur_Nursery_ganz.mp4,[19.170249],3075014
3614671,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),38041,05.12.24_Schnur_Nursery_ganz.mp4,[20.292315],3075015
3614672,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),38041,05.12.24_Schnur_Nursery_ganz.mp4,[25.555101],3075016
3614673,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[29.283285],3075017
3614674,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),38041,05.12.24_Schnur_Nursery_ganz.mp4,[34.193699],3075018
3614675,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[45.749611],3075019
3614676,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[45.749611],3075020
3614677,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[45.749611],3075021
3614678,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[45.749611],3075022
3614679,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[45.749611],3075023
3614680,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[45.749611],3075024
3614681,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),38041,05.12.24_Schnur_Nursery_ganz.mp4,[50.120998],3075025
3614682,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),38041,05.12.24_Schnur_Nursery_ganz.mp4,[50.120998],3075026
3614683,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),38041,05.12.24_Schnur_Nursery_ganz.mp4,[50.120998],3075027
3614684,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),38041,05.12.24_Schnur_Nursery_ganz.mp4,[51.756767],3075028
3614685,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),38041,05.12.24_Schnur_Nursery_ganz.mp4,[51.756767],3075029
3614686,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),38041,05.12.24_Schnur_Nursery_ganz.mp4,[56.169372],3075030
3614687,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),38041,05.12.24_Schnur_Nursery_ganz.mp4,[56.169372],3075031
3614688,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),38041,05.12.24_Schnur_Nursery_ganz.mp4,[56.169372],3075032
3614689,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[65.12079],3075033
3614690,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[65.12079],3075034
3614691,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),38041,05.12.24_Schnur_Nursery_ganz.mp4,[65.12079],3075035
3614692,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38041,05.12.24_Schnur_Nursery_ganz.mp4,[74.0438],3075036
3614693,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38041,05.12.24_Schnur_Nursery_ganz.mp4,[74.0438],3075037
3614694,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38041,05.12.24_Schnur_Nursery_ganz.mp4,[74.0438],3075038
3614695,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38041,05.12.24_Schnur_Nursery_ganz.mp4,[74.0438],3075039
