video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3556176,376551,"Threadfin (Chaetodon auriga)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[1197.63,448.77]]",[2.2185894],3039346,"2025-06-20 13:38:30","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556177,376553,"Moorish Idol (Zanclus cornutus)","Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[969.81,444.76]]",[2.2185894],3039347,"2025-06-20 13:38:42","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556178,376885,"Sailfin Tang (Zebrasoma desjardinii)","Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[1275.35,547.83]]",[2.2185894],3039348,"2025-06-20 13:38:48","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556179,377437,"Longbarbel (Parupeneus macronemus)","Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[1335.31,372.19]]",[16.2525368],3039349,"2025-06-20 13:39:13","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556180,376590,"False-eye (Abudefduf sparoides)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[128.87,221.24]]",[21.8070031],3039350,"2025-06-20 13:40:02","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556181,379872,"Threespot Dascyllus (Dascyllus trimaculatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[374.48,493.8]]",[35.3553992],3039351,"2025-06-20 13:41:24","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556182,442948,"Humpback (Lutjanus gibbus)","Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[249.99,335.17]]",[35.7939543],3039352,"2025-06-20 13:42:57","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556183,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[916.37,522.3]]",[36.6852062],3039353,"2025-06-20 13:43:08","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556184,376546,"Paletail Unicorn (Naso brevirostris)","Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[883.54,445.45]]",[42.06118],3039354,"2025-06-20 13:43:20","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
3556185,443002,"Yellowmargin (Pseudobalistes flavimarginatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Yellowmargin (Pseudobalistes flavimarginatus)",3843,Max,Romes,38053,08.12.24_Nursery_algaemix_ganz.mp4,1,Point,"[[1297.3,258.99]]",[49.4066548],3039355,"2025-06-20 13:44:06","{""mimetype"":""video\/mp4"",""size"":7181191726,""width"":1920,""height"":1080}"
