video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames
3558264,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558265,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558266,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558267,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558268,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558269,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558270,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558271,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[3.6897923]
3558272,Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Threadfin (Chaetodon auriga),,,[11.9205277]
3558273,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[13.9548149]
3558274,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[15.6209523]
3558276,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[15.6209523]
3558277,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[22.4728982]
3558279,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[29.1545141]
