video_annotation_label_id,label_name,label_hierarchy,video_id,video_filename,frames,annotation_id
3558264,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041060
3558265,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041061
3558266,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041062
3558267,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041063
3558268,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041064
3558269,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041065
3558270,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041066
3558271,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[3.6897923],3041067
3558272,Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),38055,09.12.24_Nursery_algaemix_ganz.mp4,[11.9205277],3041068
3558273,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),38055,09.12.24_Nursery_algaemix_ganz.mp4,[13.9548149],3041069
3558274,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[15.6209523],3041070
3558276,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[15.6209523],3041072
3558277,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),38055,09.12.24_Nursery_algaemix_ganz.mp4,[22.4728982],3041073
3558279,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,38055,09.12.24_Nursery_algaemix_ganz.mp4,[29.1545141],3041075
3558280,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[35.3731461],3041076
3558281,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[36.5474439],3041077
3558282,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),38055,09.12.24_Nursery_algaemix_ganz.mp4,[44.9063576],3041078
3558283,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),38055,09.12.24_Nursery_algaemix_ganz.mp4,[56.5616392],3041079
3558284,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041080
3558285,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041081
3558286,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041082
3558287,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041083
3558288,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041084
3558289,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041085
3558290,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041086
3558291,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041087
3558292,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041088
3558293,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041089
3558294,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041090
3558295,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041091
3558296,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041092
3558297,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041093
3558298,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041094
3558299,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38055,09.12.24_Nursery_algaemix_ganz.mp4,[69.7737955],3041095
