video_annotation_label_id,label_name,label_hierarchy,video_id,video_filename,frames,annotation_id
3272793,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[4.967780772],2774580
3272794,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[4.967780772],2774581
3272795,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[4.967780772],2774582
3272796,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[6.420924141666541],2774583
3272797,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[6.420924141666541],2774584
3272798,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[13.841021264667564],2774585
3272799,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[17.004474917333226],2774586
3272800,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[17.004474917333226],2774587
3272801,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[17.004474917333226],2774588
3272802,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774589
3272803,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774590
3272804,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774591
3272805,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774592
3272806,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774593
3272807,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774594
3272808,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.944022509666436],2774595
3272809,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.9440225],2774596
3272810,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.9440225],2774597
3272811,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.9440225],2774598
3272812,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,36412,26.10.24_Milimani_C8_Glasnudel_ganz.mp4,[15.9440225],2774599
