video_annotation_label_id,label_name,label_hierarchy,video_id,video_filename,frames,annotation_id
3438470,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[6.4525608],2930884
3438471,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,37845,12.11.24_Milimani_Meersalat_ganz.mp4,[15.3787596],2930885
3438473,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[20.1188273],2930887
3438474,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[23.9713298],2930888
3438475,Surgeonfishes (Acanthuridae),Large Ovals > Surgeonfishes (Acanthuridae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[26.1874572],2930889
3438476,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[32.7273342],2930890
3438478,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[54.828761],2930892
3438480,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[81.9680559],2930894
3438482,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[94.6885637],2930896
3438484,Axilspot Hogfish (Bodianus axillaris),Wrasses > Wrasses (Labridae) > Axilspot Hogfish (Bodianus axillaris),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[96.5081015],2930898
3438486,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[100.1844528],2930900
3438488,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[114.8162033],2930902
3438490,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[114.8162033],2930904
3438492,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[135.8736759],2930906
3438494,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[144.0321679],2930908
3438495,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[144.0321679],2930909
3438496,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[172.6596126],2930910
3438497,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[206.8787999],2930911
3438498,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[302.1275525],2930912
3438499,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[328.4220622],2930913
3438500,Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[413.6307786],2930914
3438501,Black-backed (Chaetodon melannotus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-backed (Chaetodon melannotus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[431.3225136],2930915
3438502,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[504.2787741],2930916
3438503,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[521.5510942],2930917
3438506,Puffers (Tetraodontidae),Odd-shaped Swimmers > Puffers (Tetraodontidae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[526.196169],2930920
3438507,Wirenet (Cantherhines pardalis),Odd-shaped Swimmers > Filefishes (Monacanthidae) > Wirenet (Cantherhines pardalis),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[535.1086171],2930921
3438508,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[565.1854667],2930922
3438509,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[565.1854667],2930923
3438511,Black Saddled Toby (Canthigaster valentini),Odd-shaped Swimmers > Puffers (Tetraodontidae) > Black Saddled Toby (Canthigaster valentini),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[572.8893486],2930925
3438512,Indian Redfin (Chaetodon trifasciatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Indian Redfin (Chaetodon trifasciatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[599.7403059],2930926
3438520,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[642.2861926],2930934
3438521,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[642.2861926],2930935
3438523,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[673.6152888],2930937
3438525,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[690.6738596],2930939
3438526,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[690.6738596],2930940
3438527,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[690.6738596],2930941
3438538,Honeycomb (Siganus stellatus),Large Ovals > Rabbitfishes (Siganidae) > Honeycomb (Siganus stellatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[868.2033952],2930952
3438539,Honeycomb (Siganus stellatus),Large Ovals > Rabbitfishes (Siganidae) > Honeycomb (Siganus stellatus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[868.2033952],2930953
3438541,Yellowhead (Chaetodon xanthocephalus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Yellowhead (Chaetodon xanthocephalus),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[888.5087958],2930955
3438564,Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[980.447947],2930978
3438565,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),37845,12.11.24_Milimani_Meersalat_ganz.mp4,[1007.2675546],2930979
