video_annotation_label_id,label_name,label_hierarchy,video_id,video_filename,frames,annotation_id
3467948,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[1.9399333],2957601
3467949,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[3.4193225],2957602
3467950,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[3.4193225],2957603
3467951,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),38015,24.11.24_Milimani_Makerel_ganz.mp4,[4.3883563],2957604
3467952,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),38015,24.11.24_Milimani_Makerel_ganz.mp4,[7.5792366],2957605
3467953,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),38015,24.11.24_Milimani_Makerel_ganz.mp4,[7.5792366],2957606
3467954,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[14.4675828],2957607
3467955,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[22.6432043],2957608
3467959,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[64.8206926],2957612
3467960,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[64.8206926],2957613
3467961,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[64.3919169],2957614
3467962,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[64.3919169],2957615
3467963,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[64.3919169],2957616
3467964,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),38015,24.11.24_Milimani_Makerel_ganz.mp4,[66.9557265],2957617
3467965,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,38015,24.11.24_Milimani_Makerel_ganz.mp4,[67.255757],2957618
3467966,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),38015,24.11.24_Milimani_Makerel_ganz.mp4,[68.6889257],2957619
3467967,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),38015,24.11.24_Milimani_Makerel_ganz.mp4,[75.9625189],2957620
3467968,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[98.6958626],2957621
3467969,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[98.6958626],2957622
3467970,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[98.6958626],2957623
3467971,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[98.6958626],2957624
3467972,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),38015,24.11.24_Milimani_Makerel_ganz.mp4,[102.3203656],2957625
3467973,Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),38015,24.11.24_Milimani_Makerel_ganz.mp4,[111.5660063],2957626
3467974,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[141.0570619],2957627
3467975,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),38015,24.11.24_Milimani_Makerel_ganz.mp4,[170.9572789],2957628
3467976,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38015,24.11.24_Milimani_Makerel_ganz.mp4,[178.354427],2957629
3467977,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38015,24.11.24_Milimani_Makerel_ganz.mp4,[178.354427],2957630
3467978,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38015,24.11.24_Milimani_Makerel_ganz.mp4,[178.354427],2957631
3467979,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38015,24.11.24_Milimani_Makerel_ganz.mp4,[178.354427],2957632
3467980,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),38015,24.11.24_Milimani_Makerel_ganz.mp4,[178.354427],2957633
3467981,Triggerfishes (Balistidae),Odd-shaped Swimmers > Triggerfishes (Balistidae),38015,24.11.24_Milimani_Makerel_ganz.mp4,[181.7910532],2957634
3467982,Triggerfishes (Balistidae),Odd-shaped Swimmers > Triggerfishes (Balistidae),38015,24.11.24_Milimani_Makerel_ganz.mp4,[181.7910532],2957635
