video_annotation_label_id,label_name,label_hierarchy,video_id,video_filename,frames,annotation_id
3539565,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[1.0484375],3025545
3539570,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[2.0561391],3025550
3539572,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,38037,28.11.24_Milimani_Sargassum_ganz.mp4,[5.9294707],3025552
3539574,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[8.0520457],3025554
3539575,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[8.0520457],3025555
3539576,Slingjaw (Epibulus insidiator),Wrasses > Wrasses (Labridae) > Slingjaw (Epibulus insidiator),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[13.0811383],3025556
3539577,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[16.132784],3025557
3539578,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[16.132784],3025558
3539579,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[16.132784],3025559
3539580,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),38037,28.11.24_Milimani_Sargassum_ganz.mp4,[16.132784],3025560
