video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames
3541345,Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),Sloping Heads,Lutjanidae,Lutjanus,bohar,,,[0.519226]
3541353,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,sexfasciatus,,,[0.363656]
3541355,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,sexfasciatus,,,[0.363656]
3541359,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,,Genus Chromis,,,[2.5051057]
3541366,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,dimidiatus,,,[5.8015975]
3541633,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful,Pomacanthidae,Centropyge,multispinis,,,[10.0631871]
3541636,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,indicus,,,[16.9641585]
3541643,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,indicus,,,[21.4155165]
3541644,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,indicus,,,[21.4155165]
3541646,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,hebraicum,,,[21.4155165]
3541648,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,Small Ovals - Damselfishes,Pomacentridae,,Green,interested,,[21.4155165]
3541650,Green Feeding,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Feeding,Small Ovals - Damselfishes,Pomacentridae,,Green,,feeding,[24.6604014]
3541652,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,lunare,,,[32.501483]
3541653,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,lunare,,,[46.3556741]
3541655,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,lunare,,,[46.3556741]
3541659,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,indicus,,,[61.1807123]
