video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3262975,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[842.88,561.41]]",[0],2766307,"2025-02-05 10:22:33","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262976,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[1025.55,229.62]]",[0],2766308,"2025-02-05 10:22:34","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262977,375938,"Sulfur (Pomacentrus sulfureus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Sulfur (Pomacentrus sulfureus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[451.03,697.85]]",[0],2766309,"2025-02-05 10:24:36","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262979,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[552.97,457.54]]",[0],2766310,"2025-02-05 10:24:47","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262980,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[764.14,574.05]]",[0],2766311,"2025-02-05 10:24:48","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262981,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[822.39,716.78]]",[0],2766312,"2025-02-05 10:24:49","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262982,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[491.04,476.83]]",[0],2766313,"2025-02-05 10:25:13","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262983,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[563.37,745.95]]",[0],2766314,"2025-02-05 10:25:33","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262984,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[231.42,664.21]]",[0],2766315,"2025-02-05 10:27:06","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262985,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[1306.94,495.74]]",[0.7233942176656062],2766316,"2025-02-05 10:27:25","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262986,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[885.8,621.94]]",[0.7233942176656062],2766317,"2025-02-05 10:27:25","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262987,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[1078.88,232.69]]",[0.7233942176656062],2766318,"2025-02-05 10:27:27","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262988,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[114.98,708.61]]",[0.7233942176656062],2766319,"2025-02-05 10:27:28","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262989,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[511.79,475.97]]",[0.7233942176656062],2766320,"2025-02-05 10:27:30","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262990,386811,"Swarthy (Scarus niger)","Parrotfishes > Parrotfishes (Scaridae) > Swarthy (Scarus niger)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[868.31,454.06]]",[0.843687591010807],2766321,"2025-02-05 10:27:58","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
3262991,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,36411,26.10.24_Utumbi_C10_Makarel_ganz.mp4,1,Point,"[[895.2,438.81]]",[2.556932524327653],2766322,"2025-02-05 10:28:27","{""mimetype"":""video\/mp4"",""size"":5559112359,""width"":1920,""height"":1080}"
