video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3298570,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[43.68,591.48]]",[0],2797369,"2025-02-25 08:57:22","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298571,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1003.52,374.35]]",[0],2797370,"2025-02-25 08:57:23","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298572,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1329.74,449.66]]",[0],2797371,"2025-02-25 08:57:24","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298573,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[172.92,418.28]]",[5.294116608005114],2797372,"2025-02-25 08:58:22","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298574,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[154.1,349.25]]",[9.430690526990489],2797373,"2025-02-25 08:58:31","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298575,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[363.63,509.9]]",[9.430690526990489],2797374,"2025-02-25 08:58:32","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298576,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[200.52,470.99]]",[10.597827566667648],2797375,"2025-02-25 08:58:45","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298578,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[597,370.59]]",[13.595984952],2797377,"2025-02-25 08:59:07","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298579,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[834.14,358.04]]",[13.595984952],2797378,"2025-02-25 08:59:08","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298580,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[134.02,187.36]]",[13.595984952],2797379,"2025-02-25 08:59:09","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298581,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[292.11,577.67]]",[13.99174166567635],2797380,"2025-02-25 08:59:19","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298582,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1077.55,311.6]]",[17.66342832],2797381,"2025-02-25 08:59:34","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298583,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1002.27,365.57]]",[17.66342832],2797382,"2025-02-25 08:59:50","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298584,386954,"Genus Naso","Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1103.9,193.63]]",[17.89631374833046],2797383,"2025-02-25 09:00:08","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298585,386954,"Genus Naso","Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[477.81,524.96]]",[21.899747929669896],2797384,"2025-02-25 09:10:11","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298586,427343,"Goldbar Feeding","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Feeding",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[214.32,614.07]]",[23.22250219365688],2797385,"2025-02-25 09:10:24","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298587,427343,"Goldbar Feeding","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Feeding",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[642.17,519.94]]",[23.22250219365688],2797386,"2025-02-25 09:10:25","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298588,427283,"Green Feeding","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Feeding",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[658.48,627.87]]",[29.277657898000193],2797387,"2025-02-25 09:10:48","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298589,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1093.86,277.72]]",[32.745239172999376],2797388,"2025-02-25 09:11:27","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298590,375548,"Wrasses (Labridae)","Wrasses > Wrasses (Labridae)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[960.86,359.29]]",[34.62203375633006],2797389,"2025-02-25 09:11:39","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298591,376590,"False-eye (Abudefduf sparoides)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[203.03,453.42]]",[38.428553458336296],2797390,"2025-02-25 09:12:50","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298592,376550,"Genus Soldier (Myripristis)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[461.76,498.9]]",[41.483588670999694],2797391,"2025-02-25 09:13:52","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298593,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[529.74,433.77]]",[41.483588670999694],2797392,"2025-02-25 09:13:56","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298594,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[324.88,801.99]]",[42.40510310766637],2797393,"2025-02-25 09:14:47","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298595,379858,"Redmouth (Aethaloperca rogaa)","Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[263.46,638.8]]",[47.56232898433357],2797394,"2025-02-25 09:15:14","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298596,427173,"Redmouth Interested","Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa) > Redmouth Interested",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[580.16,555.28]]",[70.11712756933125],2797395,"2025-02-25 09:15:57","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298597,379860,"Elegant Unicorn (Naso elegans)","Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[403.39,465.41]]",[81.96443397499579],2797396,"2025-02-25 09:18:06","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298601,375543,"Groupers (Serranidae)","Heavy Bodies/Large Lips > Groupers (Serranidae)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[113.64,506.52]]",[92.11705769400005],2797400,"2025-02-25 09:19:00","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298603,376071,"Regal (Pygoplites diacanthus)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1022.6,359.84]]",[113.79916998033677],2797402,"2025-02-25 09:20:40","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298604,376553,"Moorish Idol (Zanclus cornutus)","Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[186.35,407.12]]",[160.21850187166478],2797403,"2025-02-25 09:22:19","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298609,379859,"Bullethead (Chlorurus sordidus)","Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[903.83,498.04]]",[181.04886446332492],2797408,"2025-02-25 09:23:57","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298610,386901,"Brown Pigmy (Centropyge multispinis)","Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[882.01,530.77]]",[175.63856849100307],2797409,"2025-02-25 09:24:13","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298612,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1007.46,354.45]]",[202.73134297766813],2797411,"2025-02-25 09:25:49","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298613,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[999.42,353.4]]",[202.73134297766813],2797412,"2025-02-25 09:25:50","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298614,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1019.35,359]]",[202.73134297766813],2797413,"2025-02-25 09:25:51","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298615,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1030.19,352.7]]",[202.73134297766813],2797414,"2025-02-25 09:25:52","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298616,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1038.23,330.32]]",[202.73134297766813],2797415,"2025-02-25 09:25:52","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298617,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1035.78,319.48]]",[202.73134297766813],2797416,"2025-02-25 09:25:53","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298618,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[774.24,312.48]]",[202.73134297766813],2797417,"2025-02-25 09:25:54","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298619,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[785.08,311.08]]",[202.73134297766813],2797418,"2025-02-25 09:25:55","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298620,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[787.53,321.93]]",[202.73134297766813],2797419,"2025-02-25 09:25:55","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298621,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[823.62,321.93]]",[202.73134297766813],2797420,"2025-02-25 09:25:56","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298622,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[840.06,307.94]]",[202.73134297766813],2797421,"2025-02-25 09:25:57","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298623,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[857.89,315.98]]",[202.73134297766813],2797422,"2025-02-25 09:25:57","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298624,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[853.67,332.44]]",[202.73134297766813],2797423,"2025-02-25 09:25:58","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298625,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[865.56,334.19]]",[202.73134297766813],2797424,"2025-02-25 09:25:59","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298626,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[962.76,353.43]]",[202.73134297766813],2797425,"2025-02-25 09:26:00","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298627,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[947.73,353.43]]",[202.73134297766813],2797426,"2025-02-25 09:26:00","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298628,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[975.35,379.31]]",[202.73134297766813],2797427,"2025-02-25 09:26:01","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298629,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1035.14,386.65]]",[202.73134297766813],2797428,"2025-02-25 09:26:02","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298630,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1117.36,495.83]]",[202.73134297766813],2797429,"2025-02-25 09:26:04","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298631,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1222.67,293.92]]",[202.73134297766813],2797430,"2025-02-25 09:26:07","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
3298632,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,36423,27.11.24_Utumbi_C8_Sargassum_ganz.mp4,1,Point,"[[1172.67,300.56]]",[202.73134297766813],2797431,"2025-02-25 09:26:08","{""mimetype"":""video\/mp4"",""size"":6628510475,""width"":1920,""height"":1080}"
