video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3438470,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[1226.29,511.38]]",[6.4525608],2930884,"2025-04-30 10:45:43","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438471,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[812.04,170.2]]",[15.3787596],2930885,"2025-04-30 10:45:59","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438473,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[1062.57,425.77]]",[20.1188273],2930887,"2025-04-30 10:46:38","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438474,376886,"Sixbar (Thalassoma hardwicke)","Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[675.6,309.15]]",[23.9713298],2930888,"2025-04-30 10:46:50","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438475,375528,"Surgeonfishes (Acanthuridae)","Large Ovals > Surgeonfishes (Acanthuridae)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[97.64,271.94]]",[26.1874572],2930889,"2025-04-30 10:47:02","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438476,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[268.79,466.71]]",[32.7273342],2930890,"2025-04-30 10:47:43","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438478,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[226.62,661.49]]",[54.828761],2930892,"2025-04-30 10:48:12","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438480,377585,"Lined Bristletooth (Ctenochaetus striatus)","Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[1285.83,484.54]]",[81.9680559],2930894,"2025-04-30 10:49:06","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438482,377506,"Spotted (Chaetodon guttatissimus)","Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[492.08,489.22]]",[94.6885637],2930896,"2025-04-30 10:49:28","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
3438484,377502,"Axilspot Hogfish (Bodianus axillaris)","Wrasses > Wrasses (Labridae) > Axilspot Hogfish (Bodianus axillaris)",3843,Max,Romes,37845,12.11.24_Milimani_Meersalat_ganz.mp4,1,Point,"[[822.86,564.07]]",[96.5081015],2930898,"2025-04-30 10:49:50","{""mimetype"":""video\/mp4"",""size"":7949155765,""width"":1920,""height"":1080}"
