video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3464047,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[936.38,487.12]]",[1.4388417],2954300,"2025-05-17 13:04:37","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464048,376072,"Red (Lutjanus bohar)","Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[1185.61,483.06]]",[6.2031546],2954301,"2025-05-17 13:04:50","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464049,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[147.29,442.17]]",[12.6590656],2954302,"2025-05-17 13:05:04","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464050,376070,"Goldbar (Thalassoma hebraicum)","Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[442.78,402.45]]",[14.8458514],2954303,"2025-05-17 13:05:13","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464051,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[1176.26,330.02]]",[20.1949883],2954304,"2025-05-17 13:05:27","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464052,376133,"Orange-lined (Balistapus undulatus)","Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[1213.64,365.07]]",[22.9229386],2954305,"2025-05-17 13:05:35","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464053,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[830.55,332.36]]",[26.4669741],2954306,"2025-05-17 13:05:51","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464054,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[936.83,441.01]]",[54.0365316],2954307,"2025-05-17 13:06:29","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464055,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[1009.24,356.89]]",[54.0365316],2954308,"2025-05-17 13:06:29","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
3464056,377446,"Bird wrasse (Gomphosus caeruleus)","Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus)",3843,Max,Romes,38012,12.11.24_Utumbi_Glasnudel_ganz.mp4,1,Point,"[[824.71,512.27]]",[56.8858782],2954309,"2025-05-17 13:06:40","{""mimetype"":""video\/mp4"",""size"":6692289644,""width"":1920,""height"":1080}"
