video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
3466276,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1276.07,322.71]]",[6.2763467],2956525,"2025-05-19 10:37:38","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466279,427036,"Genus Chromis","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1312.85,570.32]]",[6.5972194],2956528,"2025-05-19 10:37:47","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466288,379860,"Elegant Unicorn (Naso elegans)","Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[872.57,582.54]]",[8.2612297],2956537,"2025-05-19 10:37:55","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466297,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1355.87,409.18]]",[13.0958446],2956546,"2025-05-19 10:38:08","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466300,377433,"Green (Amblyglyphidodon indicus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[578.78,362.34]]",[13.0958446],2956549,"2025-05-19 10:38:09","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466308,386954,"Genus Naso","Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[83.04,642.27]]",[13.0958446],2956557,"2025-05-19 10:38:14","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466314,376061,"Indian Half-and-Half (Pycnochromis dimidiatus)","Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[221.82,608.92]]",[15.2381918],2956563,"2025-05-19 10:38:24","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466325,376143,"Bicolor (Labroides bicolor)","Wrasses > Wrasses (Labridae) > Bicolor (Labroides bicolor)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1201.87,587.36]]",[24.6783716],2956574,"2025-05-19 10:38:49","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466333,388453,"Genus Squirrel (Sargocentron)","Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1304.93,474.48]]",[29.7410624],2956582,"2025-05-19 10:39:04","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466334,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1268.51,471.45]]",[31.5095899],2956583,"2025-05-19 10:39:12","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466335,432854,"Golden (Ctenochaetus truncates)","Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1268.51,487.49]]",[31.5095899],2956584,"2025-05-19 10:39:13","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466336,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[256.1,630.5]]",[34.6995499],2956585,"2025-05-19 10:39:26","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466337,376882,"Parrotfishes (Scaridae)","Parrotfishes > Parrotfishes (Scaridae)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[236.69,662.28]]",[34.6995499],2956586,"2025-05-19 10:39:27","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466338,376148,"Moon (Thalassoma lunare)","Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[1279.95,669.16]]",[39.694944],2956587,"2025-05-19 10:39:37","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
3466342,377436,"Brown Tang (Zebrasoma scopas)","Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas)",3843,Max,Romes,38014,15.11.24_Utumbi_Control_ganz.mp4,1,Point,"[[82.13,600.38]]",[51.8874147],2956591,"2025-05-19 10:40:13","{""mimetype"":""video\/mp4"",""size"":6756900183,""width"":1920,""height"":1080}"
