filename,area,last_time_sec,last_time_formatted,species,label_name
20241204-nursery-algae_strings.csv,Annotation_reports_Nursery,1179.983553,19:39.984,Goldsaddle (Parupeneus cyclostomus),Goldsaddle (Parupeneus cyclostomus)
20241205-nursery-algae_strings.csv,Annotation_reports_Nursery,126.393147,02:06.393,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241206-nursery-algae_strings.csv,Annotation_reports_Nursery,1738.303887,28:58.304,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241208-nursery-algaemix.csv,Annotation_reports_Nursery,865.761884,14:25.762,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241209-nursery-algaemix.csv,Annotation_reports_Nursery,364.820209,06:04.820,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241210-nursery-algaemix.csv,Annotation_reports_Nursery,78.997595,01:18.998,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241025-milimani-mackerel.csv,Annotation_reports_coral_reef,1289.630695,21:29.631,Sailfin Tang (Zebrasoma desjardinii),Sailfin Tang (Zebrasoma desjardinii)
20241025-utumbi-ulva_salad.csv,Annotation_reports_coral_reef,809.312176,13:29.312,Orange-lined (Balistapus undulatus),Orange-lined Feeding
20241026-milimani-ulva_gutweed.csv,Annotation_reports_coral_reef,1524.286799,25:24.287,Freckled (Paracirrhites forsteri),Freckled (Paracirrhites forsteri)
20241026-utumbi-mackerel.csv,Annotation_reports_coral_reef,2223.249219,37:03.249,Barred (Hemigymnus fasciatus),Barred (Hemigymnus fasciatus)
20241027-milimani-ulva_salad.csv,Annotation_reports_coral_reef,1104.129371,18:24.129,,Tunas/Mackerels (Scombridae)
20241027-utumbi-ulva_salad.csv,Annotation_reports_coral_reef,1856.173211,30:56.173,Tubelip (Labrichthys unilineatus),Tubelip (Labrichthys unilineatus)
20241029-milimani-ulva_gutweed.csv,Annotation_reports_coral_reef,807.108696,13:27.109,,Tunas/Mackerels (Scombridae)
20241029-utumbi-ulva_gutweed.csv,Annotation_reports_coral_reef,483.711495,08:03.711,Spotted (Chaetodon guttatissimus),Spotted (Chaetodon guttatissimus)
20241030-milimani-ulva_gutweed.csv,Annotation_reports_coral_reef,655.765143,10:55.765,Redmouth (Aethaloperca rogaa),Redmouth (Aethaloperca rogaa)
20241030-utumbi-ulva_gutweed.csv,Annotation_reports_coral_reef,2190.230869,36:30.231,Eclipse (Chaetodon bennetti),Eclipse (Chaetodon bennetti)
20241105-milimani-ulva_salad.csv,Annotation_reports_coral_reef,1042.998122,17:22.998,Longnose (Oxymonacanthus longirostris),Longnose (Oxymonacanthus longirostris)
20241105-utumbi-control.csv,Annotation_reports_coral_reef,1613.888892,26:53.889,Green (Amblyglyphidodon indicus),Green Feeding
20241110-milimani-ulva_salad.csv,Annotation_reports_coral_reef,1667.168379,27:47.168,,Genus Siganus
20241110-utumbi-ulva_salad.csv,Annotation_reports_coral_reef,1524.818845,25:24.819,Yellowbreast (Anampses twistii),Yellowbreast (Anampses twistii)
20241111-milimani-control.csv,Annotation_reports_coral_reef,607.216738,10:07.217,Tubelip (Labrichthys unilineatus),Tubelip (Labrichthys unilineatus)
20241111-utumbi-control.csv,Annotation_reports_coral_reef,1395.528867,23:15.529,Yellowbreast (Anampses twistii),Yellowbreast (Anampses twistii)
20241112-milimani-ulva_salad.csv,Annotation_reports_coral_reef,572.889348,09:32.889,Longnose (Oxymonacanthus longirostris),Longnose (Oxymonacanthus longirostris)
20241112-utumbi-ulva_gutweed.csv,Annotation_reports_coral_reef,794.493057,13:14.493,Spotted (Cetoscarus ocellatus),Spotted (Cetoscarus ocellatus)
20241114-milimani-control.csv,Annotation_reports_coral_reef,2499.006121,41:39.006,,Tunas/Mackerels (Scombridae)
20241114-utumbi-control.csv,Annotation_reports_coral_reef,391.842469,06:31.842,Yellowbreast (Anampses twistii),Yellowbreast (Anampses twistii)
20241115-milimani-control.csv,Annotation_reports_coral_reef,297.109213,04:57.109,Longnose (Oxymonacanthus longirostris),Longnose (Oxymonacanthus longirostris)
20241115-utumbi-control.csv,Annotation_reports_coral_reef,1749.077298,29:09.077,Yellowbreast (Anampses twistii),Yellowbreast (Anampses twistii)
20241124-milimani-mackerel.csv,Annotation_reports_coral_reef,1585.212989,26:25.213,,Stomatapoda
20241124-utumbi-mackerel.csv,Annotation_reports_coral_reef,681.525841,11:21.526,Humpnose Bigeye (Monotaxis grandoculis),Humpnose Bigeye (Monotaxis grandoculis)
20241127-milimani-sargassum.csv,Annotation_reports_coral_reef,1097.181573,18:17.182,,Genus Siganus
20241127-utumbi-sargassum.csv,Annotation_reports_coral_reef,103.676489,01:43.676,,Tunas/Mackerels (Scombridae)
