filename,area,last_annotation_sec,last_annotation_time,gap_to_47min_sec,first_excluded_sec,first_excluded_time,last_annotation_species,last_annotation_label
20240106-nursery-mackerel.csv,Annotation_reports_Nursery,525.887,08:45.887,2294.113,,,,Batfishes (Ephippidae)
20240108-nursery-control.csv,Annotation_reports_Nursery,104.197,01:44.197,2715.803,,,Disappearing (Pseudocheilinus evanidus),Disappearing (Pseudocheilinus evanidus)
20240223-nursery-mackerel.csv,Annotation_reports_Nursery,531.562,08:51.562,2288.438,,,Lined Bristletooth (Ctenochaetus striatus),Lined Bristletooth (Ctenochaetus striatus)
20241126-nursery-mackerel.csv,Annotation_reports_Nursery,653.638,10:53.638,2166.362,,,,Cornetfishes (Fistulariidae)
20241204-nursery-algae_strings.csv,Annotation_reports_Nursery,1179.984,19:39.984,1640.016,2882.979,48:02.979,Goldsaddle (Parupeneus cyclostomus),Goldsaddle (Parupeneus cyclostomus)
20241205-nursery-algae_strings.csv,Annotation_reports_Nursery,126.393,02:06.393,2693.607,2920.876,48:40.876,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241206-nursery-algae_strings.csv,Annotation_reports_Nursery,1738.304,28:58.304,1081.696,3074.136,51:14.136,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241208-nursery-algaemix.csv,Annotation_reports_Nursery,865.762,14:25.762,1954.238,2909.150,48:29.150,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241209-nursery-algaemix.csv,Annotation_reports_Nursery,364.820,06:04.820,2455.180,3038.377,50:38.377,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20241210-nursery-algaemix.csv,Annotation_reports_Nursery,78.998,01:18.998,2741.002,2990.787,49:50.787,Blackspot (Lutjanus fulviflamma),Blackspot (Lutjanus fulviflamma)
20251212-nursery-mackerel.csv,Annotation_reports_Nursery,387.769,06:27.769,2432.231,,,,Cornetfishes (Fistulariidae)
20240515-milimani-mackerel.csv,Annotation_reports_coral_reef,175.855,02:55.855,2644.145,,,Indian Half-and-Half (Pycnochromis dimidiatus),Indian Half-and-Half (Pycnochromis dimidiatus)
20240516-utumbi-mackerel.csv,Annotation_reports_coral_reef,208.903,03:28.903,2611.097,,,Threespot Dascyllus (Dascyllus trimaculatus),Threespot Dascyllus (Dascyllus trimaculatus)
20241025-milimani-mackerel.csv,Annotation_reports_coral_reef,1289.631,21:29.631,1530.369,3202.945,53:22.945,Sailfin Tang (Zebrasoma desjardinii),Sailfin Tang (Zebrasoma desjardinii)
