count,taxonomic_name
271,Genus Chromis
168,Indian Half-and-Half (Pycnochromis dimidiatus)
132,Parrotfishes (Scaridae)
75,Fusiliers (Caesionidae)
44,Sailfin Tang (Zebrasoma desjardinii)
37,Humpnose Bigeye (Monotaxis grandoculis)
32,Brown Tang (Zebrasoma scopas)
28,Longbarbel (Parupeneus macronemus)
22,Genus Soldier (Myripristis)
20,Genus Squirrel (Sargocentron)
15,Arabian Monocle (Scolopsis ghanam)
13,Moorish Idol (Zanclus cornutus)
13,Blue-green (Chromis viridis)
12,Regal (Pygoplites diacanthus)
10,Black-lipped (Chaetodon kleinii)
10,Red-breasted (Cheilinus fasciatus)
10,Yellowstripe (Mulloidichthys flavolineatus)
9,Paletail Unicorn (Naso brevirostris)
9,Indian Redfin (Chaetodon trifasciatus)
9,Brown Pigmy (Centropyge multispinis)
8,Bird wrasse (Gomphosus caeruleus)
8,Genus Caesio
7,Bullethead (Chlorurus sordidus)
7,Black-backed (Chaetodon melannotus)
7,Checkerboard (Halichoeres hortulanus)
7,Honeycomb (Siganus stellatus)
6,Barred (Hemigymnus fasciatus)
6,Eclipse (Chaetodon bennetti)
6,Swarthy (Scarus niger)
6,Black Saddled Toby (Canthigaster valentini)
6,Sixbar (Thalassoma hardwicke)
6,Jacks/Trevallyes (Carangidae)
6,Bicolor (Labroides bicolor)
5,Mozambique Fangblenny (Meiacanthus mossambicus)
5,Scissortail Sergeant (Abudefduf sexfasciatus)
5,Groupers (Serranidae)
5,Weber's puller (Chromis weberi)
4,Goldbar (Thalassoma hebraicum)
4,Bluefin (Caranx melampygus)
4,Threadfin (Chaetodon auriga)
4,Spotted Toby (Canthigaster solandri)
4,Peacock (Cephalopholis argus)
4,Green (Amblyglyphidodon indicus)
4,Longnose (Oxymonacanthus longirostris)
4,Axilspot Hogfish (Bodianus axillaris)
4,Raccoon (Chaetodon lunula)
3,Stareye (Calotomus carolinus)
3,Spotted (Chaetodon guttatissimus)
3,Rockmover (Novaculichthys taeniourus)
3,Blackeye (Hemigymnus melapterus)
3,Yellowtail (Anampses meleagrides)
3,Orange-lined (Balistapus undulatus)
3,Trumpetfish (Aulostomus chinensis)
3,Scrawled (Aluterus scriptus)
3,Halfmoon (Sufflamen chrysopterum)
3,Whitetail (Acanthurus thompsoni)
3,Piano Fangblenny (Plagiotremus tapeinosoma)
3,Speckled (Parapercis hexophthalma)
3,Cornetfishes (Fistulariidae)
3,Claudia (Halichoeres claudia)
3,Moon (Thalassoma lunare)
2,Freckled (Paracirrhites forsteri)
2,Indian Longnose (Hipposcarus harid)
2,Blennies (Blenniidae)
2,Titan (Balistoides viridescens)
2,Genus Naso
2,Disappearing (Pseudocheilinus evanidus)
2,Linedcheeked (Oxycheilinus digramma)
2,Lined (Chaetodon lineolatus)
2,Queenfish (Scomberoides lysan)
2,Puffers (Tetraodontidae)
2,Genus Siganus
2,Wirenet (Cantherhines pardalis)
2,Meyer's (Chaetodon meyeri)
2,Redmouth (Aethaloperca rogaa)
2,Orangespotted (Lethrinus erythracanthus)
2,Yellowbreast (Anampses twistii)
2,Blue-streak (Labroides dimidiatus)
2,Yellowhead (Chaetodon xanthocephalus)
2,False-eye (Abudefduf sparoides)
1,Leopard (Cephalopholis leopardus)
1,Longnose (Forcipiger flavissimus)
1,Emperors (Lethrinidae)
1,Thumbprint (Lethrinus harak)
1,Blennies
1,Tunas/Mackerels (Scombridae)
1,Stomatapoda
1,Humpback Unicorn (Naso brachycentron)
1,Elegant Unicorn (Naso elegans)
1,Lined Bristletooth (Ctenochaetus striatus)
1,Slingjaw (Epibulus insidiator)
1,Snubnose (Lethrinus borbonicus)
1,Palenose (Scarus psittacus)
1,Moon Feeding
1,Moon Interested
1,Humphead (Cheilinus undulatus)
1,Five-saddle (Scarus saber)
1,Teardrop (Chaetodon interruptus)
1,Scorpion-&Lionfishes (Scorpaenidae)
1,Sulfur (Pomacentrus sulfureus)
1,Morays (Muraenidae)
1,Undulated Feeding
1,Black-lipped Feeding
1,Ternate (Chromis ternatensis)
1,Tubelip (Labrichthys unilineatus)
1,Titan Interested
1,Titan Feeding
1,Turtle (Cheloniidae)
1,Blue-spotted Ribbontail (Taeniura lymma)
1,Surgeonfishes (Acanthuridae)
1,Goldbar Feeding
1,Mahsena (Lethrinus mahsena)
1,Spotted (Diodon hystrix)
