video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
4523430,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads,Lethrinidae,Monotaxis,Humpnose Bigeye (Monotaxis grandoculis),,,[3.619089],[3.619089],3.619089,3.619089,3.619089,TRUE,TRUE,TRUE,TRUE,[3.619089],1,1
4523431,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads,Lethrinidae,Monotaxis,Humpnose Bigeye (Monotaxis grandoculis),,,[3.619089],[3.619089],3.619089,3.619089,3.619089,TRUE,TRUE,TRUE,TRUE,[3.619089],1,1
4523435,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[8.028601],[8.028601],8.028601,8.028601,8.028601,TRUE,TRUE,TRUE,TRUE,[8.028601],1,1
4523445,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[22.751742],[22.751742],22.751742,22.751742,22.751742,TRUE,TRUE,TRUE,TRUE,[22.751742],1,1
4523458,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[94.670966],[94.670966],94.670966,94.670966,94.670966,TRUE,TRUE,TRUE,TRUE,[94.670966],1,1
4523459,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[94.670966],[94.670966],94.670966,94.670966,94.670966,TRUE,TRUE,TRUE,TRUE,[94.670966],1,1
4523460,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[94.670966],[94.670966],94.670966,94.670966,94.670966,TRUE,TRUE,TRUE,TRUE,[94.670966],1,1
4523461,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[94.670966],[94.670966],94.670966,94.670966,94.670966,TRUE,TRUE,TRUE,TRUE,[94.670966],1,1
4523462,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[94.670966],[94.670966],94.670966,94.670966,94.670966,TRUE,TRUE,TRUE,TRUE,[94.670966],1,1
4523463,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[94.670966],[94.670966],94.670966,94.670966,94.670966,TRUE,TRUE,TRUE,TRUE,[94.670966],1,1
4523465,Snappers (Lutjanidae),Sloping Heads > Snappers (Lutjanidae),Snappers,Lutjanidae,,,,,[99.548358],[99.548358],99.548358,99.548358,99.548358,TRUE,TRUE,TRUE,TRUE,[99.548358],1,1
