video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
4418670,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[6.627725],[6.627725],6.627725,6.627725,6.627725,TRUE,FALSE,TRUE,TRUE,[6.627725],1,1
4418671,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[6.627725],[6.627725],6.627725,6.627725,6.627725,TRUE,FALSE,TRUE,TRUE,[6.627725],1,1
4418672,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[6.627725],[6.627725],6.627725,6.627725,6.627725,TRUE,FALSE,TRUE,TRUE,[6.627725],1,1
4418701,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads,Lethrinidae,Monotaxis,Humpnose Bigeye (Monotaxis grandoculis),,,[7.162205],[7.162205],7.162205,7.162205,7.162205,TRUE,FALSE,TRUE,TRUE,[7.162205],1,1
4418703,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[7.162205],[7.162205],7.162205,7.162205,7.162205,TRUE,FALSE,TRUE,TRUE,[7.162205],1,1
4418704,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[7.162205],[7.162205],7.162205,7.162205,7.162205,TRUE,FALSE,TRUE,TRUE,[7.162205],1,1
4418706,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[8.439268],[8.439268],8.439268,8.439268,8.439268,TRUE,FALSE,TRUE,TRUE,[8.439268],1,1
4418707,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[8.439268],[8.439268],8.439268,8.439268,8.439268,TRUE,FALSE,TRUE,TRUE,[8.439268],1,1
4418708,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[8.439268],[8.439268],8.439268,8.439268,8.439268,TRUE,FALSE,TRUE,TRUE,[8.439268],1,1
4418710,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[8.439268],[8.439268],8.439268,8.439268,8.439268,TRUE,FALSE,TRUE,TRUE,[8.439268],1,1
