video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3614664,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[10.889556],[10.889556],10.889556,10.889556,10.889556,TRUE,FALSE,FALSE,FALSE,[10.889556],1,1
3614665,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[10.889556],[10.889556],10.889556,10.889556,10.889556,TRUE,FALSE,FALSE,FALSE,[10.889556],1,1
3614666,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),Parrotfishes,Scaridae,Chlorurus,Bullethead (Chlorurus sordidus),,,[10.889556],[10.889556],10.889556,10.889556,10.889556,TRUE,FALSE,FALSE,FALSE,[10.889556],1,1
3614667,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),Small Ovals - Damselfishes,Pomacentridae,Chromis,Weber's puller (Chromis weberi),,,[10.889556],[10.889556],10.889556,10.889556,10.889556,TRUE,FALSE,FALSE,FALSE,[10.889556],1,1
3614668,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[12.633536],[12.633536],12.633536,12.633536,12.633536,TRUE,FALSE,FALSE,FALSE,[12.633536],1,1
3614669,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[15.273162],[15.273162],15.273162,15.273162,15.273162,TRUE,FALSE,FALSE,FALSE,[15.273162],1,1
3614670,Blackwhite (Macolor niger),Sloping Heads > Snappers (Lutjanidae) > Blackwhite (Macolor niger),Sloping Heads,Lutjanidae,Macolor,Blackwhite (Macolor niger),,,[19.170249],[19.170249],19.170249,19.170249,19.170249,TRUE,FALSE,FALSE,FALSE,[19.170249],1,1
3614671,Monk (Acanthurus gahhm),Large Ovals > Surgeonfishes (Acanthuridae) > Monk (Acanthurus gahhm),Large Ovals,Acanthuridae,Acanthurus,Monk (Acanthurus gahhm),,,[20.292315],[20.292315],20.292315,20.292315,20.292315,TRUE,FALSE,FALSE,FALSE,[20.292315],1,1
3614672,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[25.555101],[25.555101],25.555101,25.555101,25.555101,TRUE,FALSE,FALSE,FALSE,[25.555101],1,1
3614673,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[29.283285],[29.283285],29.283285,29.283285,29.283285,TRUE,FALSE,FALSE,FALSE,[29.283285],1,1
3614674,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),Large Ovals,Acanthuridae,Zebrasoma,Sailfin Tang (Zebrasoma desjardinii),,,[34.193699],[34.193699],34.193699,34.193699,34.193699,TRUE,FALSE,FALSE,FALSE,[34.193699],1,1
3614675,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[45.749611],[45.749611],45.749611,45.749611,45.749611,TRUE,FALSE,FALSE,FALSE,[45.749611],1,1
3614676,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[45.749611],[45.749611],45.749611,45.749611,45.749611,TRUE,FALSE,FALSE,FALSE,[45.749611],1,1
3614677,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[45.749611],[45.749611],45.749611,45.749611,45.749611,TRUE,FALSE,FALSE,FALSE,[45.749611],1,1
3614678,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[45.749611],[45.749611],45.749611,45.749611,45.749611,TRUE,FALSE,FALSE,FALSE,[45.749611],1,1
3614679,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[45.749611],[45.749611],45.749611,45.749611,45.749611,TRUE,FALSE,FALSE,FALSE,[45.749611],1,1
3614680,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[45.749611],[45.749611],45.749611,45.749611,45.749611,TRUE,FALSE,FALSE,FALSE,[45.749611],1,1
3614681,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[50.120998],[50.120998],50.120998,50.120998,50.120998,TRUE,FALSE,FALSE,FALSE,[50.120998],1,1
3614682,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[50.120998],[50.120998],50.120998,50.120998,50.120998,TRUE,FALSE,FALSE,FALSE,[50.120998],1,1
3614683,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[50.120998],[50.120998],50.120998,50.120998,50.120998,TRUE,FALSE,FALSE,FALSE,[50.120998],1,1
3614684,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[51.756767],[51.756767],51.756767,51.756767,51.756767,TRUE,FALSE,FALSE,FALSE,[51.756767],1,1
3614685,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[51.756767],[51.756767],51.756767,51.756767,51.756767,TRUE,FALSE,FALSE,FALSE,[51.756767],1,1
3614686,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),Small Ovals - Damselfishes,Pomacentridae,Chromis,Weber's puller (Chromis weberi),,,[56.169372],[56.169372],56.169372,56.169372,56.169372,TRUE,FALSE,FALSE,FALSE,[56.169372],1,1
3614687,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),Small Ovals - Damselfishes,Pomacentridae,Chromis,Weber's puller (Chromis weberi),,,[56.169372],[56.169372],56.169372,56.169372,56.169372,TRUE,FALSE,FALSE,FALSE,[56.169372],1,1
3614688,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),Small Ovals - Damselfishes,Pomacentridae,Chromis,Weber's puller (Chromis weberi),,,[56.169372],[56.169372],56.169372,56.169372,56.169372,TRUE,FALSE,FALSE,FALSE,[56.169372],1,1
3614689,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[65.12079],[65.120790],65.120790,65.120790,65.120790,TRUE,FALSE,FALSE,FALSE,[65.120790],1,1
3614690,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[65.12079],[65.120790],65.120790,65.120790,65.120790,TRUE,FALSE,FALSE,FALSE,[65.120790],1,1
3614691,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[65.12079],[65.120790],65.120790,65.120790,65.120790,TRUE,FALSE,FALSE,FALSE,[65.120790],1,1
3614692,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614693,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614694,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614695,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614696,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614697,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614698,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614699,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[74.0438],[74.043800],74.043800,74.043800,74.043800,TRUE,FALSE,FALSE,FALSE,[74.043800],1,1
3614700,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614701,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614702,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614703,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614704,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614705,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614706,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614707,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614708,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[83.093032],[83.093032],83.093032,83.093032,83.093032,TRUE,FALSE,FALSE,FALSE,[83.093032],1,1
3614709,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[88.391714],[88.391714],88.391714,88.391714,88.391714,TRUE,FALSE,FALSE,FALSE,[88.391714],1,1
3614710,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[88.391714],[88.391714],88.391714,88.391714,88.391714,TRUE,FALSE,FALSE,FALSE,[88.391714],1,1
