video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
999000001,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
3556176,Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Threadfin (Chaetodon auriga),,,[2.2185894],[2.218589],2.218589,2.218589,2.218589,TRUE,FALSE,FALSE,[2.218589],1,1
3556177,Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),Large Ovals,Zanclidae,Zanclus,Moorish Idol (Zanclus cornutus),,,[2.2185894],[2.218589],2.218589,2.218589,2.218589,TRUE,FALSE,FALSE,[2.218589],1,1
3556178,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),Large Ovals,Acanthuridae,Zebrasoma,Sailfin Tang (Zebrasoma desjardinii),,,[2.2185894],[2.218589],2.218589,2.218589,2.218589,TRUE,FALSE,FALSE,[2.218589],1,1
3556179,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[16.2525368],[16.252537],16.252537,16.252537,16.252537,TRUE,FALSE,FALSE,[16.252537],1,1
3556180,False-eye (Abudefduf sparoides),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,False-eye (Abudefduf sparoides),,,[21.8070031],[21.807003],21.807003,21.807003,21.807003,TRUE,FALSE,FALSE,[21.807003],1,1
3556181,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[35.3553992],[35.355399],35.355399,35.355399,35.355399,TRUE,FALSE,FALSE,[35.355399],1,1
3556182,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[35.7939543],[35.793954],35.793954,35.793954,35.793954,TRUE,FALSE,FALSE,[35.793954],1,1
3556183,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[36.6852062],[36.685206],36.685206,36.685206,36.685206,TRUE,FALSE,FALSE,[36.685206],1,1
3556184,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[42.06118],[42.061180],42.061180,42.061180,42.061180,TRUE,FALSE,FALSE,[42.061180],1,1
3556185,Yellowmargin (Pseudobalistes flavimarginatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Yellowmargin (Pseudobalistes flavimarginatus),Odd-shaped Swimmers,Balistidae,Pseudobalistes,Yellowmargin (Pseudobalistes flavimarginatus),,,[49.4066548],[49.406655],49.406655,49.406655,49.406655,TRUE,FALSE,FALSE,[49.406655],1,1
3556186,Yellowmargin (Pseudobalistes flavimarginatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Yellowmargin (Pseudobalistes flavimarginatus),Odd-shaped Swimmers,Balistidae,Pseudobalistes,Yellowmargin (Pseudobalistes flavimarginatus),,,[56.3003281],[56.300328],56.300328,56.300328,56.300328,TRUE,FALSE,FALSE,[56.300328],1,1
3556187,Yellowmargin (Pseudobalistes flavimarginatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Yellowmargin (Pseudobalistes flavimarginatus),Odd-shaped Swimmers,Balistidae,Pseudobalistes,Yellowmargin (Pseudobalistes flavimarginatus),,,[56.3003281],[56.300328],56.300328,56.300328,56.300328,TRUE,FALSE,FALSE,[56.300328],1,1
3556188,Weber's puller (Chromis weberi),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Weber's puller (Chromis weberi),Small Ovals - Damselfishes,Pomacentridae,Chromis,Weber's puller (Chromis weberi),,,[57.9714647],[57.971465],57.971465,57.971465,57.971465,TRUE,FALSE,FALSE,[57.971465],1,1
3556189,Indian Redfin (Chaetodon trifasciatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Indian Redfin (Chaetodon trifasciatus),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Indian Redfin (Chaetodon trifasciatus),,,[77.2873915],[77.287391],77.287391,77.287391,77.287391,TRUE,FALSE,FALSE,[77.287391],1,1
3556190,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
3556191,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
3556192,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
3556193,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
3556194,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
3556195,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
3556196,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[58.8570881],[58.857088],58.857088,58.857088,58.857088,TRUE,FALSE,FALSE,[58.857088],1,1
