video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3444648,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[15.2657329],[15.265733],15.265733,15.265733,15.265733,TRUE,FALSE,TRUE,TRUE,[15.265733],1,1
3444649,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[15.9516841],[15.951684],15.951684,15.951684,15.951684,TRUE,FALSE,TRUE,TRUE,[15.951684],1,1
3444650,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[21.493698],[21.493698],21.493698,21.493698,21.493698,TRUE,FALSE,TRUE,TRUE,[21.493698],1,1
3444651,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[25.5503159],[25.550316],25.550316,25.550316,25.550316,TRUE,FALSE,TRUE,TRUE,[25.550316],1,1
3444652,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[25.5503159],[25.550316],25.550316,25.550316,25.550316,TRUE,FALSE,TRUE,TRUE,[25.550316],1,1
3444653,Indian Longnose (Hipposcarus harid),Parrotfishes > Parrotfishes (Scaridae) > Indian Longnose (Hipposcarus harid),Parrotfishes,Scaridae,Hipposcarus,Indian Longnose (Hipposcarus harid),,,[34.4594367],[34.459437],34.459437,34.459437,34.459437,TRUE,FALSE,TRUE,TRUE,[34.459437],1,1
3444654,Indian Longnose (Hipposcarus harid),Parrotfishes > Parrotfishes (Scaridae) > Indian Longnose (Hipposcarus harid),Parrotfishes,Scaridae,Hipposcarus,Indian Longnose (Hipposcarus harid),,,[34.4594367],[34.459437],34.459437,34.459437,34.459437,TRUE,FALSE,TRUE,TRUE,[34.459437],1,1
3444655,Indian Longnose (Hipposcarus harid),Parrotfishes > Parrotfishes (Scaridae) > Indian Longnose (Hipposcarus harid),Parrotfishes,Scaridae,Hipposcarus,Indian Longnose (Hipposcarus harid),,,[34.4594367],[34.459437],34.459437,34.459437,34.459437,TRUE,FALSE,TRUE,TRUE,[34.459437],1,1
3444656,Indian Longnose (Hipposcarus harid),Parrotfishes > Parrotfishes (Scaridae) > Indian Longnose (Hipposcarus harid),Parrotfishes,Scaridae,Hipposcarus,Indian Longnose (Hipposcarus harid),,,[34.4594367],[34.459437],34.459437,34.459437,34.459437,TRUE,FALSE,TRUE,TRUE,[34.459437],1,1
3444657,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),Wrasses,Labridae,Gomphosus,Bird wrasse (Gomphosus caeruleus),,,[42.2498544],[42.249854],42.249854,42.249854,42.249854,TRUE,FALSE,TRUE,TRUE,[42.249854],1,1
3444658,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[52.0447316],[52.044732],52.044732,52.044732,52.044732,TRUE,FALSE,TRUE,TRUE,[52.044732],1,1
3444659,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[60.4091343],[60.409134],60.409134,60.409134,60.409134,TRUE,FALSE,TRUE,TRUE,[60.409134],1,1
3444660,Swarthy (Scarus niger),Parrotfishes > Parrotfishes (Scaridae) > Swarthy (Scarus niger),Parrotfishes,Scaridae,Scarus,Swarthy (Scarus niger),,,[65.472031],[65.472031],65.472031,65.472031,65.472031,TRUE,FALSE,TRUE,TRUE,[65.472031],1,1
