video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3449893,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[10.9464675],[10.946468],10.946468,10.946468,10.946468,TRUE,FALSE,TRUE,TRUE,[10.946468],1,1
3449894,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449896,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449897,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[14.9178492],[14.917849],14.917849,14.917849,14.917849,TRUE,FALSE,TRUE,TRUE,[14.917849],1,1
3449900,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449901,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449903,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449904,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449905,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449906,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449907,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449909,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449910,Disappearing (Pseudocheilinus evanidus),Wrasses > Wrasses (Labridae) > Disappearing (Pseudocheilinus evanidus),Wrasses,Labridae,Pseudocheilinus,Disappearing (Pseudocheilinus evanidus),,,[14.4830489],[14.483049],14.483049,14.483049,14.483049,TRUE,FALSE,TRUE,TRUE,[14.483049],1,1
3449912,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[15.5859922],[15.585992],15.585992,15.585992,15.585992,TRUE,FALSE,TRUE,TRUE,[15.585992],1,1
