video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3244280,Undulated (Gymnothorax undulatus),Eels > Morays (Muraenidae) > Undulated (Gymnothorax undulatus),Eels,Muraenidae,Gymnothorax,Undulated (Gymnothorax undulatus),,,[215.353004291],[215.353004],215.353004,215.353004,215.353004,TRUE,FALSE,FALSE,[215.353004],1,1
3244285,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),Wrasses,Labridae,Thalassoma,Sixbar (Thalassoma hardwicke),,,[9.418792359],[9.418792],9.418792,9.418792,9.418792,TRUE,FALSE,FALSE,[9.418792],1,1
3244292,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[1.2109272],[1.210927],1.210927,1.210927,1.210927,TRUE,FALSE,FALSE,[1.210927],1,1
3244318,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[1.6253823],[1.625382],1.625382,1.625382,1.625382,TRUE,FALSE,FALSE,[1.625382],1,1
3244339,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[9.779700038666752],[9.779700],9.779700,9.779700,9.779700,TRUE,FALSE,FALSE,[9.779700],1,1
3244347,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[33.165782984],[33.165783],33.165783,33.165783,33.165783,TRUE,FALSE,FALSE,[33.165783],1,1
3244349,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[33.165782984],[33.165783],33.165783,33.165783,33.165783,TRUE,FALSE,FALSE,[33.165783],1,1
3244389,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[21.958253479],[21.958253],21.958253,21.958253,21.958253,TRUE,FALSE,FALSE,[21.958253],1,1
3244391,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[19.933390495],[19.933390],19.933390,19.933390,19.933390,TRUE,FALSE,FALSE,[19.933390],1,1
3244392,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[19.933390495],[19.933390],19.933390,19.933390,19.933390,TRUE,FALSE,FALSE,[19.933390],1,1
3244393,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[19.933390495],[19.933390],19.933390,19.933390,19.933390,TRUE,FALSE,FALSE,[19.933390],1,1
3244394,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[19.933390495],[19.933390],19.933390,19.933390,19.933390,TRUE,FALSE,FALSE,[19.933390],1,1
3244395,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[19.933390495],[19.933390],19.933390,19.933390,19.933390,TRUE,FALSE,FALSE,[19.933390],1,1
3244408,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),Small Ovals - Damselfishes,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,,[33.0746420283326],[33.074642],33.074642,33.074642,33.074642,TRUE,FALSE,FALSE,[33.074642],1,1
3244409,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),Small Ovals - Damselfishes,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,,[656.218610457],[656.218610],656.218610,656.218610,656.218610,TRUE,FALSE,FALSE,[656.218610],1,1
