video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3248761,Eclipse (Chaetodon bennetti),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Eclipse (Chaetodon bennetti),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Eclipse (Chaetodon bennetti),,,[0],[0.000000],0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,[0.000000],1,1
3248762,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[10.520502750000007],[10.520503],10.520503,10.520503,10.520503,TRUE,FALSE,FALSE,[10.520503],1,1
3248763,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[16.4511871673334],[16.451187],16.451187,16.451187,16.451187,TRUE,FALSE,FALSE,[16.451187],1,1
3248764,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[16.4511871673334],[16.451187],16.451187,16.451187,16.451187,TRUE,FALSE,FALSE,[16.451187],1,1
3248765,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[4.798558914333369],[4.798559],4.798559,4.798559,4.798559,TRUE,FALSE,FALSE,[4.798559],1,1
3248766,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[14.498064592666632],[14.498065],14.498065,14.498065,14.498065,TRUE,FALSE,FALSE,[14.498065],1,1
3248767,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[16.38371174399998],[16.383712],16.383712,16.383712,16.383712,TRUE,FALSE,FALSE,[16.383712],1,1
3248768,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[16.38371174399998],[16.383712],16.383712,16.383712,16.383712,TRUE,FALSE,FALSE,[16.383712],1,1
3248769,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[21.714579038666674],[21.714579],21.714579,21.714579,21.714579,TRUE,FALSE,FALSE,[21.714579],1,1
3248770,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[21.714579038666674],[21.714579],21.714579,21.714579,21.714579,TRUE,FALSE,FALSE,[21.714579],1,1
3248771,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[21.714579038666674],[21.714579],21.714579,21.714579,21.714579,TRUE,FALSE,FALSE,[21.714579],1,1
3248773,Eclipse (Chaetodon bennetti),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Eclipse (Chaetodon bennetti),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Eclipse (Chaetodon bennetti),,,[38.670389225000015],[38.670389],38.670389,38.670389,38.670389,TRUE,FALSE,FALSE,[38.670389],1,1
3248774,Eclipse (Chaetodon bennetti),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Eclipse (Chaetodon bennetti),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Eclipse (Chaetodon bennetti),,,[38.670389225000015],[38.670389],38.670389,38.670389,38.670389,TRUE,FALSE,FALSE,[38.670389],1,1
3248775,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[50.39164578433331],[50.391646],50.391646,50.391646,50.391646,TRUE,FALSE,FALSE,[50.391646],1,1
3248776,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[54.44699903300003],[54.446999],54.446999,54.446999,54.446999,TRUE,FALSE,FALSE,[54.446999],1,1
3248777,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[54.44699903300003],[54.446999],54.446999,54.446999,54.446999,TRUE,FALSE,FALSE,[54.446999],1,1
3248779,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[55.47358720166667],[55.473587],55.473587,55.473587,55.473587,TRUE,FALSE,FALSE,[55.473587],1,1
3248780,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[47.2895486439998],[47.289549],47.289549,47.289549,47.289549,TRUE,FALSE,FALSE,[47.289549],1,1
3248788,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Spotted (Chaetodon guttatissimus),,,[87.71428072499991],[87.714281],87.714281,87.714281,87.714281,TRUE,FALSE,FALSE,[87.714281],1,1
3248789,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Spotted (Chaetodon guttatissimus),,,[87.71428072499991],[87.714281],87.714281,87.714281,87.714281,TRUE,FALSE,FALSE,[87.714281],1,1
3248790,Barred (Hemigymnus fasciatus),Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus),Wrasses,Labridae,Hemigymnus,Barred (Hemigymnus fasciatus),,,[95.46583620666652],[95.465836],95.465836,95.465836,95.465836,TRUE,FALSE,FALSE,[95.465836],1,1
3248791,Wrasses (Labridae),Wrasses > Wrasses (Labridae),Wrasses,Labridae,,,,,[96.7421898723333],[96.742190],96.742190,96.742190,96.742190,TRUE,FALSE,FALSE,[96.742190],1,1
3248792,Wrasses (Labridae),Wrasses > Wrasses (Labridae),Wrasses,Labridae,,,,,[96.7421898723333],[96.742190],96.742190,96.742190,96.742190,TRUE,FALSE,FALSE,[96.742190],1,1
3248793,Elegant Unicorn (Naso elegans),Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans),Large Ovals,Acanthuridae,Naso,Elegant Unicorn (Naso elegans),,,[99.22179520033353],[99.221795],99.221795,99.221795,99.221795,TRUE,FALSE,FALSE,[99.221795],1,1
3248794,Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),Large Ovals,Zanclidae,Zanclus,Moorish Idol (Zanclus cornutus),,,[110.0833985532501],[110.083399],110.083399,110.083399,110.083399,TRUE,FALSE,FALSE,[110.083399],1,1
3248795,Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),Large Ovals,Zanclidae,Zanclus,Moorish Idol (Zanclus cornutus),,,[113.70395134674997],[113.703951],113.703951,113.703951,113.703951,TRUE,FALSE,FALSE,[113.703951],1,1
3248796,Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),Large Ovals,Zanclidae,Zanclus,Moorish Idol (Zanclus cornutus),,,[113.70395134674997],[113.703951],113.703951,113.703951,113.703951,TRUE,FALSE,FALSE,[113.703951],1,1
3248797,Groupers (Serranidae),Heavy Bodies/Large Lips > Groupers (Serranidae),Heavy Bodies/Large Lips,Serranidae,,,,,[116.47876526150003],[116.478765],116.478765,116.478765,116.478765,TRUE,FALSE,FALSE,[116.478765],1,1
3248798,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[138.11510604224966],[138.115106],138.115106,138.115106,138.115106,TRUE,FALSE,FALSE,[138.115106],1,1
3248799,Ternate (Chromis ternatensis),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Ternate (Chromis ternatensis),Small Ovals - Damselfishes,Pomacentridae,Chromis,Ternate (Chromis ternatensis),,,[140.65617011274978],[140.656170],140.656170,140.656170,140.656170,TRUE,FALSE,FALSE,[140.656170],1,1
3248802,Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers > Trumpetfishes (Aulostomidae) > Trumpetfish (Aulostomus chinensis),Odd-shaped Swimmers,Aulostomidae,Aulostomus,Trumpetfish (Aulostomus chinensis),,,[168.5671428610001],[168.567143],168.567143,168.567143,168.567143,TRUE,FALSE,FALSE,[168.567143],1,1
3248805,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),Wrasses,Labridae,Gomphosus,Bird wrasse (Gomphosus caeruleus),,,[214.11786355950014],[214.117864],214.117864,214.117864,214.117864,TRUE,FALSE,FALSE,[214.117864],1,1
3248821,Elegant Unicorn (Naso elegans),Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans),Large Ovals,Acanthuridae,Naso,Elegant Unicorn (Naso elegans),,,[101.620934144],[101.620934],101.620934,101.620934,101.620934,TRUE,FALSE,FALSE,[101.620934],1,1
3248822,Elegant Unicorn (Naso elegans),Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans),Large Ovals,Acanthuridae,Naso,Elegant Unicorn (Naso elegans),,,[101.620934144],[101.620934],101.620934,101.620934,101.620934,TRUE,FALSE,FALSE,[101.620934],1,1
3248824,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[159.47142314500007],[159.471423],159.471423,159.471423,159.471423,TRUE,FALSE,FALSE,[159.471423],1,1
