video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
999000002,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
3376739,Blacktip (Epinephelus fasciatus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Blacktip (Epinephelus fasciatus),Heavy Bodies/Large Lips,Serranidae,Epinephelus,Blacktip (Epinephelus fasciatus),,,[0],[0.000000],0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,[0.000000],1,1
3376740,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[0],[0.000000],0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,[0.000000],1,1
3376745,Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips,Serranidae,Cephalopholis,Leopard (Cephalopholis leopardus),,,[19.557301775330128],[19.557302],19.557302,19.557302,19.557302,TRUE,FALSE,FALSE,[19.557302],1,1
3376748,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[20.42530565033453],[20.425306],20.425306,20.425306,20.425306,TRUE,FALSE,FALSE,[20.425306],1,1
3376750,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[20.42530565033453],[20.425306],20.425306,20.425306,20.425306,TRUE,FALSE,FALSE,[20.425306],1,1
3376751,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[26.04309202066592],[26.043092],26.043092,26.043092,26.043092,TRUE,FALSE,FALSE,[26.043092],1,1
3376754,Orange-lined Interested,Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus) > Orange-lined Interested,Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),interested,,[34.42999936033562],[34.429999],34.429999,34.429999,34.429999,TRUE,FALSE,FALSE,[34.429999],1,1
3376755,Goldbar Feeding,Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Feeding,Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,feeding,[34.42999936033562],[34.429999],34.429999,34.429999,34.429999,TRUE,FALSE,FALSE,[34.429999],1,1
3376758,Wrasses (Labridae),Wrasses > Wrasses (Labridae),Wrasses,Labridae,,,,,[39.2779731116734],[39.277973],39.277973,39.277973,39.277973,TRUE,FALSE,FALSE,[39.277973],1,1
3376760,Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),Sloping Heads,Lutjanidae,Lutjanus,Red (Lutjanus bohar),,,[43.150305223000046],[43.150305],43.150305,43.150305,43.150305,TRUE,FALSE,FALSE,[43.150305],1,1
3376763,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[48.263334547334175],[48.263335],48.263335,48.263335,48.263335,TRUE,FALSE,FALSE,[48.263335],1,1
3376764,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[48.263334547334175],[48.263335],48.263335,48.263335,48.263335,TRUE,FALSE,FALSE,[48.263335],1,1
3376766,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[67.13443691000319],[67.134437],67.134437,67.134437,67.134437,TRUE,FALSE,FALSE,[67.134437],1,1
3376767,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[71.47840165099902],[71.478402],71.478402,71.478402,71.478402,TRUE,FALSE,FALSE,[71.478402],1,1
3376771,Mozambique Fangblenny (Meiacanthus mossambicus),Blennies > Blennies (Blenniidae) > Mozambique Fangblenny (Meiacanthus mossambicus),Blennies,Blenniidae,Meiacanthus,Mozambique Fangblenny (Meiacanthus mossambicus),,,[97.5211954873337],[97.521195],97.521195,97.521195,97.521195,TRUE,FALSE,FALSE,[97.521195],1,1
3376772,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376773,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376774,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376775,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376776,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376777,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376778,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376779,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376780,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376781,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
3376782,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[105.32397270399854],[105.323973],105.323973,105.323973,105.323973,TRUE,FALSE,FALSE,[105.323973],1,1
