video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3384260,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[6.281573377],[6.281573],6.281573,6.281573,6.281573,TRUE,FALSE,FALSE,[6.281573],1,1
3384261,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[6.841126666335424],[6.841127],6.841127,6.841127,6.841127,TRUE,FALSE,FALSE,[6.841127],1,1
3384282,Threadfin (Chaetodon auriga),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Threadfin (Chaetodon auriga),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Threadfin (Chaetodon auriga),,,[1.374862043],[1.374862],1.374862,1.374862,1.374862,TRUE,FALSE,FALSE,[1.374862],1,1
3384283,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[1.4172665123272281],[1.417267],1.417267,1.417267,1.417267,TRUE,FALSE,FALSE,[1.417267],1,1
3384284,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[36.738452964996895],[36.738453],36.738453,36.738453,36.738453,TRUE,FALSE,FALSE,[36.738453],1,1
3384285,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384286,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384287,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384288,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384289,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384290,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384291,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384292,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384293,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384294,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384295,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384296,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384297,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384298,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384299,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384300,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384301,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384302,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384303,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384304,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384305,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384318,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384320,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384321,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384322,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384323,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384324,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384325,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384326,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384327,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384328,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384329,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384330,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384331,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384332,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384334,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384335,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384336,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384337,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384338,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384339,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384340,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384341,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384342,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384343,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384344,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384345,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
3384346,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[55.935095654666966],[55.935096],55.935096,55.935096,55.935096,TRUE,FALSE,FALSE,[55.935096],1,1
