video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3401969,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[0.4013191],[0.401319],0.401319,0.401319,0.401319,TRUE,FALSE,FALSE,FALSE,[0.401319],1,1
3401970,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[2.3363774],[2.336377],2.336377,2.336377,2.336377,TRUE,FALSE,FALSE,FALSE,[2.336377],1,1
3401971,Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips > Hawkfishes (Cirrhitidae) > Freckled (Paracirrhites forsteri),Heavy Bodies/Large Lips,Cirrhitidae,Paracirrhites,Freckled (Paracirrhites forsteri),,,[2.3547887],[2.354789],2.354789,2.354789,2.354789,TRUE,FALSE,FALSE,FALSE,[2.354789],1,1
3401972,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[4.6660743],[4.666074],4.666074,4.666074,4.666074,TRUE,FALSE,FALSE,FALSE,[4.666074],1,1
3401973,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),Reddish/Big Eyes,Holocentridae,Genus Squirrel,,,,[11.5722911],[11.572291],11.572291,11.572291,11.572291,TRUE,FALSE,FALSE,FALSE,[11.572291],1,1
3401974,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[23.3356829],[23.335683],23.335683,23.335683,23.335683,TRUE,FALSE,FALSE,FALSE,[23.335683],1,1
3401975,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[47.1999757],[47.199976],47.199976,47.199976,47.199976,TRUE,FALSE,FALSE,FALSE,[47.199976],1,1
3401976,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[54.2648717],[54.264872],54.264872,54.264872,54.264872,TRUE,FALSE,FALSE,FALSE,[54.264872],1,1
3401977,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[54.2648717],[54.264872],54.264872,54.264872,54.264872,TRUE,FALSE,FALSE,FALSE,[54.264872],1,1
3401978,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[54.2648717],[54.264872],54.264872,54.264872,54.264872,TRUE,FALSE,FALSE,FALSE,[54.264872],1,1
3401979,Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Leopard (Cephalopholis leopardus),Heavy Bodies/Large Lips,Serranidae,Cephalopholis,Leopard (Cephalopholis leopardus),,,[54.2648717],[54.264872],54.264872,54.264872,54.264872,TRUE,FALSE,FALSE,FALSE,[54.264872],1,1
3401980,Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),Sloping Heads,Lutjanidae,Lutjanus,Red (Lutjanus bohar),,,[54.2648717],[54.264872],54.264872,54.264872,54.264872,TRUE,FALSE,FALSE,FALSE,[54.264872],1,1
3401981,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[64.5019108],[64.501911],64.501911,64.501911,64.501911,TRUE,FALSE,FALSE,FALSE,[64.501911],1,1
3401982,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[64.5019108],[64.501911],64.501911,64.501911,64.501911,TRUE,FALSE,FALSE,FALSE,[64.501911],1,1
3401985,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[83.2677502],[83.267750],83.267750,83.267750,83.267750,TRUE,FALSE,FALSE,FALSE,[83.267750],1,1
3401986,Surgeonfishes (Acanthuridae),Large Ovals > Surgeonfishes (Acanthuridae),Large Ovals,Acanthuridae,,,,,[97.4750553],[97.475055],97.475055,97.475055,97.475055,TRUE,FALSE,FALSE,FALSE,[97.475055],1,1
3401990,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[125.3380786],[125.338079],125.338079,125.338079,125.338079,TRUE,FALSE,FALSE,FALSE,[125.338079],1,1
3401991,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),Wrasses,Labridae,Gomphosus,Bird wrasse (Gomphosus caeruleus),,,[134.8040915],[134.804091],134.804091,134.804091,134.804091,TRUE,FALSE,FALSE,FALSE,[134.804091],1,1
3401992,Goldbar Interested,Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Interested,Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),interested,,[160.5285878],[160.528588],160.528588,160.528588,160.528588,TRUE,FALSE,FALSE,FALSE,[160.528588],1,1
3401993,Moon Interested,Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare) > Moon Interested,Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),interested,,[160.5285878],[160.528588],160.528588,160.528588,160.528588,TRUE,FALSE,FALSE,FALSE,[160.528588],1,1
3401994,Red Interested,Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar) > Red Interested,Sloping Heads,Lutjanidae,Lutjanus,Red (Lutjanus bohar),interested,,[164.7993977],[164.799398],164.799398,164.799398,164.799398,TRUE,FALSE,FALSE,FALSE,[164.799398],1,1
3401995,Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),Large Ovals,Acanthuridae,Acanthurus,Whitetail (Acanthurus thompsoni),,,[167.6112901],[167.611290],167.611290,167.611290,167.611290,TRUE,FALSE,FALSE,FALSE,[167.611290],1,1
3401997,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[176.0778606],[176.077861],176.077861,176.077861,176.077861,TRUE,FALSE,FALSE,FALSE,[176.077861],1,1
3401998,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[176.0778606],[176.077861],176.077861,176.077861,176.077861,TRUE,FALSE,FALSE,FALSE,[176.077861],1,1
3401999,Moorish Idol (Zanclus cornutus),Large Ovals > Moorish Idol (Zanclidae) > Moorish Idol (Zanclus cornutus),Large Ovals,Zanclidae,Zanclus,Moorish Idol (Zanclus cornutus),,,[179.3101057],[179.310106],179.310106,179.310106,179.310106,TRUE,FALSE,FALSE,FALSE,[179.310106],1,1
3402000,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[185.7859033],[185.785903],185.785903,185.785903,185.785903,TRUE,FALSE,FALSE,FALSE,[185.785903],1,1
3402005,Moon Feeding,Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare) > Moon Feeding,Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,feeding,[215.2176507],[215.217651],215.217651,215.217651,215.217651,TRUE,FALSE,FALSE,FALSE,[215.217651],1,1
3402006,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[214.9496475],[214.949647],214.949647,214.949647,214.949647,TRUE,FALSE,FALSE,FALSE,[214.949647],1,1
3402007,Goldbar Feeding,Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum) > Goldbar Feeding,Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,feeding,[221.6401597],[221.640160],221.640160,221.640160,221.640160,TRUE,FALSE,FALSE,FALSE,[221.640160],1,1
3402008,Red Feeding,Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar) > Red Feeding,Sloping Heads,Lutjanidae,Lutjanus,Red (Lutjanus bohar),,feeding,[228.5089376],[228.508938],228.508938,228.508938,228.508938,TRUE,FALSE,FALSE,FALSE,[228.508938],1,1
3402009,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[230.8582564],[230.858256],230.858256,230.858256,230.858256,TRUE,FALSE,FALSE,FALSE,[230.858256],1,1
3402010,Genus Soldier (Myripristis),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Soldier (Myripristis),Reddish/Big Eyes,Holocentridae,Genus Soldier,,,,[230.8582564],[230.858256],230.858256,230.858256,230.858256,TRUE,FALSE,FALSE,FALSE,[230.858256],1,1
3402011,Wrasses (Labridae),Wrasses > Wrasses (Labridae),Wrasses,Labridae,,,,,[286.9590458],[286.959046],286.959046,286.959046,286.959046,TRUE,FALSE,FALSE,FALSE,[286.959046],1,1
3402012,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[294.8501845],[294.850185],294.850185,294.850185,294.850185,TRUE,FALSE,FALSE,FALSE,[294.850185],1,1
