video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3466276,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[6.2763467],[6.276347],6.276347,6.276347,6.276347,TRUE,FALSE,FALSE,FALSE,[6.276347],1,1
3466279,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[6.5972194],[6.597219],6.597219,6.597219,6.597219,TRUE,FALSE,FALSE,FALSE,[6.597219],1,1
3466288,Elegant Unicorn (Naso elegans),Large Ovals > Surgeonfishes (Acanthuridae) > Elegant Unicorn (Naso elegans),Large Ovals,Acanthuridae,Naso,Elegant Unicorn (Naso elegans),,,[8.2612297],[8.261230],8.261230,8.261230,8.261230,TRUE,FALSE,FALSE,FALSE,[8.261230],1,1
3466297,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[13.0958446],[13.095845],13.095845,13.095845,13.095845,TRUE,FALSE,FALSE,FALSE,[13.095845],1,1
3466300,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[13.0958446],[13.095845],13.095845,13.095845,13.095845,TRUE,FALSE,FALSE,FALSE,[13.095845],1,1
3466308,Genus Naso,Large Ovals > Surgeonfishes (Acanthuridae) > Genus Naso,Large Ovals,Acanthuridae,Genus Naso,,,,[13.0958446],[13.095845],13.095845,13.095845,13.095845,TRUE,FALSE,FALSE,FALSE,[13.095845],1,1
3466314,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[15.2381918],[15.238192],15.238192,15.238192,15.238192,TRUE,FALSE,FALSE,FALSE,[15.238192],1,1
3466325,Bicolor (Labroides bicolor),Wrasses > Wrasses (Labridae) > Bicolor (Labroides bicolor),Wrasses,Labridae,Labroides,Bicolor (Labroides bicolor),,,[24.6783716],[24.678372],24.678372,24.678372,24.678372,TRUE,FALSE,FALSE,FALSE,[24.678372],1,1
3466333,Genus Squirrel (Sargocentron),Reddish/Big Eyes > Soldier-&Squirrelfishes (Holocentridae) > Genus Squirrel (Sargocentron),Reddish/Big Eyes,Holocentridae,Genus Squirrel,,,,[29.7410624],[29.741062],29.741062,29.741062,29.741062,TRUE,FALSE,FALSE,FALSE,[29.741062],1,1
3466334,Golden (Ctenochaetus truncates),Large Ovals > Surgeonfishes (Acanthuridae) > Golden (Ctenochaetus truncates),Large Ovals,Acanthuridae,Ctenochaetus,Golden (Ctenochaetus truncates),,,[31.5095899],[31.509590],31.509590,31.509590,31.509590,TRUE,FALSE,FALSE,FALSE,[31.509590],1,1
