video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3539565,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[1.0484375],[1.048437],1.048437,1.048437,1.048437,TRUE,FALSE,FALSE,FALSE,[1.048437],1,1
3539570,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),Wrasses,Labridae,Thalassoma,Sixbar (Thalassoma hardwicke),,,[2.0561391],[2.056139],2.056139,2.056139,2.056139,TRUE,FALSE,FALSE,FALSE,[2.056139],1,1
3539572,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[5.9294707],[5.929471],5.929471,5.929471,5.929471,TRUE,FALSE,FALSE,FALSE,[5.929471],1,1
3539574,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[8.0520457],[8.052046],8.052046,8.052046,8.052046,TRUE,FALSE,FALSE,FALSE,[8.052046],1,1
3539575,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[8.0520457],[8.052046],8.052046,8.052046,8.052046,TRUE,FALSE,FALSE,FALSE,[8.052046],1,1
3539576,Slingjaw (Epibulus insidiator),Wrasses > Wrasses (Labridae) > Slingjaw (Epibulus insidiator),Wrasses,Labridae,Epibulus,Slingjaw (Epibulus insidiator),,,[13.0811383],[13.081138],13.081138,13.081138,13.081138,TRUE,FALSE,FALSE,FALSE,[13.081138],1,1
3539577,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[16.132784],[16.132784],16.132784,16.132784,16.132784,TRUE,FALSE,FALSE,FALSE,[16.132784],1,1
3539578,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[16.132784],[16.132784],16.132784,16.132784,16.132784,TRUE,FALSE,FALSE,FALSE,[16.132784],1,1
3539579,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[16.132784],[16.132784],16.132784,16.132784,16.132784,TRUE,FALSE,FALSE,FALSE,[16.132784],1,1
3539580,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[16.132784],[16.132784],16.132784,16.132784,16.132784,TRUE,FALSE,FALSE,FALSE,[16.132784],1,1
