video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
999000001,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
999000002,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
3474629,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[1.0400213],[1.040021],1.040021,1.040021,1.040021,TRUE,FALSE,FALSE,[1.040021],1,1
3474630,Red (Lutjanus bohar),Sloping Heads > Snappers (Lutjanidae) > Red (Lutjanus bohar),Sloping Heads,Lutjanidae,Lutjanus,Red (Lutjanus bohar),,,[1.0400213],[1.040021],1.040021,1.040021,1.040021,TRUE,FALSE,FALSE,[1.040021],1,1
3474631,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[1.0400213],[1.040021],1.040021,1.040021,1.040021,TRUE,FALSE,FALSE,[1.040021],1,1
3474632,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.8200655],[3.820066],3.820066,3.820066,3.820066,TRUE,FALSE,FALSE,[3.820066],1,1
3474633,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.8200655],[3.820066],3.820066,3.820066,3.820066,TRUE,FALSE,FALSE,[3.820066],1,1
3474634,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.8200655],[3.820066],3.820066,3.820066,3.820066,TRUE,FALSE,FALSE,[3.820066],1,1
3474635,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[5.8229328],[5.822933],5.822933,5.822933,5.822933,TRUE,FALSE,FALSE,[5.822933],1,1
3474636,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[5.8229328],[5.822933],5.822933,5.822933,5.822933,TRUE,FALSE,FALSE,[5.822933],1,1
