video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
999000001,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
999000002,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
3547338,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547339,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547340,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547341,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547342,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),interested,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547343,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),interested,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547344,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),interested,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
3547345,Green Interested,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Interested,Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),interested,,[3.2724006],[3.272401],3.272401,3.272401,3.272401,TRUE,FALSE,FALSE,[3.272401],1,1
