video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
4416408,Longfin Banner (Heniochus acuminatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Longfin Banner (Heniochus acuminatus),Disk-shaped/Colourful,Chaetodontidae,Heniochus,Longfin Banner (Heniochus acuminatus),,,[4.02121],[4.021210],4.021210,4.021210,4.021210,TRUE,FALSE,TRUE,TRUE,[4.021210],1,1
4416409,Longfin Banner (Heniochus acuminatus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Longfin Banner (Heniochus acuminatus),Disk-shaped/Colourful,Chaetodontidae,Heniochus,Longfin Banner (Heniochus acuminatus),,,[4.02121],[4.021210],4.021210,4.021210,4.021210,TRUE,FALSE,TRUE,TRUE,[4.021210],1,1
4416431,False-eye (Abudefduf sparoides),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,False-eye (Abudefduf sparoides),,,[4.02121],[4.021210],4.021210,4.021210,4.021210,TRUE,FALSE,TRUE,TRUE,[4.021210],1,1
4416439,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.02121],[4.021210],4.021210,4.021210,4.021210,TRUE,FALSE,TRUE,TRUE,[4.021210],1,1
4416440,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.02121],[4.021210],4.021210,4.021210,4.021210,TRUE,FALSE,TRUE,TRUE,[4.021210],1,1
4416456,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.060556],[4.060556],4.060556,4.060556,4.060556,TRUE,FALSE,TRUE,TRUE,[4.060556],1,1
4416458,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.060556],[4.060556],4.060556,4.060556,4.060556,TRUE,FALSE,TRUE,TRUE,[4.060556],1,1
4416461,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.060556],[4.060556],4.060556,4.060556,4.060556,TRUE,FALSE,TRUE,TRUE,[4.060556],1,1
4416462,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.060556],[4.060556],4.060556,4.060556,4.060556,TRUE,FALSE,TRUE,TRUE,[4.060556],1,1
4416464,Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Black-lipped (Chaetodon kleinii),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Black-lipped (Chaetodon kleinii),,,[4.060556],[4.060556],4.060556,4.060556,4.060556,TRUE,FALSE,TRUE,TRUE,[4.060556],1,1
4416471,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416472,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416474,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416475,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416477,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416478,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416479,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416490,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),Slender Schoolers/Colourful,Caesionidae,,,,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416491,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),Slender Schoolers/Colourful,Caesionidae,,,,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416492,Fusiliers (Caesionidae),Slender Schoolers/Colourful > Fusiliers (Caesionidae),Slender Schoolers/Colourful,Caesionidae,,,,,[5.873608],[5.873608],5.873608,5.873608,5.873608,TRUE,FALSE,TRUE,TRUE,[5.873608],1,1
4416506,Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers > Sandperches (Pinguipedidae) > Speckled (Parapercis hexophthalma),Elongate Sand & Burrow Dwellers,Pinguipedidae,Parapercis,Speckled (Parapercis hexophthalma),,,[12.110673],[12.110673],12.110673,12.110673,12.110673,TRUE,FALSE,TRUE,TRUE,[12.110673],1,1
4416521,Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads > Emperors (Lethrinidae) > Humpnose Bigeye (Monotaxis grandoculis),Sloping Heads,Lethrinidae,Monotaxis,Humpnose Bigeye (Monotaxis grandoculis),,,[15.269957],[15.269957],15.269957,15.269957,15.269957,TRUE,FALSE,TRUE,TRUE,[15.269957],1,1
4416527,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[16.882822],[16.882822],16.882822,16.882822,16.882822,TRUE,FALSE,TRUE,TRUE,[16.882822],1,1
4416542,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[19.640941],[19.640941],19.640941,19.640941,19.640941,TRUE,FALSE,TRUE,TRUE,[19.640941],1,1
4416593,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416594,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416595,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416596,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416597,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416600,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416602,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[22.927975],[22.927975],22.927975,22.927975,22.927975,TRUE,FALSE,TRUE,TRUE,[22.927975],1,1
4416617,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.821767],[25.821767],25.821767,25.821767,25.821767,TRUE,FALSE,TRUE,TRUE,[25.821767],1,1
4416618,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.821767],[25.821767],25.821767,25.821767,25.821767,TRUE,FALSE,TRUE,TRUE,[25.821767],1,1
4416635,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.262454],[25.262454],25.262454,25.262454,25.262454,TRUE,FALSE,TRUE,TRUE,[25.262454],1,1
4416637,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.262454],[25.262454],25.262454,25.262454,25.262454,TRUE,FALSE,TRUE,TRUE,[25.262454],1,1
4416639,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.262454],[25.262454],25.262454,25.262454,25.262454,TRUE,FALSE,TRUE,TRUE,[25.262454],1,1
4416640,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.262454],[25.262454],25.262454,25.262454,25.262454,TRUE,FALSE,TRUE,TRUE,[25.262454],1,1
4416641,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[25.262454],[25.262454],25.262454,25.262454,25.262454,TRUE,FALSE,TRUE,TRUE,[25.262454],1,1
4416659,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[30.007604],[30.007604],30.007604,30.007604,30.007604,TRUE,FALSE,TRUE,TRUE,[30.007604],1,1
4416660,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[30.007604],[30.007604],30.007604,30.007604,30.007604,TRUE,FALSE,TRUE,TRUE,[30.007604],1,1
4416663,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[30.007604],[30.007604],30.007604,30.007604,30.007604,TRUE,FALSE,TRUE,TRUE,[30.007604],1,1
4416665,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[30.007604],[30.007604],30.007604,30.007604,30.007604,TRUE,FALSE,TRUE,TRUE,[30.007604],1,1
4416673,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[27.452257],[27.452257],27.452257,27.452257,27.452257,TRUE,FALSE,TRUE,TRUE,[27.452257],1,1
