video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3615055,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[3.44165],[3.441650],3.441650,3.441650,3.441650,TRUE,FALSE,FALSE,FALSE,[3.441650],1,1
3615056,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[3.44165],[3.441650],3.441650,3.441650,3.441650,TRUE,FALSE,FALSE,FALSE,[3.441650],1,1
3615057,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[5.015272],[5.015272],5.015272,5.015272,5.015272,TRUE,FALSE,FALSE,FALSE,[5.015272],1,1
3615058,Arabian Monocle (Scolopsis ghanam),Sloping Heads > Coral Breams (Nemipteridae) > Arabian Monocle (Scolopsis ghanam),Sloping Heads,Nemipteridae,Scolopsis,Arabian Monocle (Scolopsis ghanam),,,[20.303487],[20.303487],20.303487,20.303487,20.303487,TRUE,FALSE,FALSE,FALSE,[20.303487],1,1
3615059,Blue barred (Scarus ghobban),Parrotfishes > Parrotfishes (Scaridae) > Blue barred (Scarus ghobban),Parrotfishes,Scaridae,Scarus,Blue barred (Scarus ghobban),,,[23.012017],[23.012017],23.012017,23.012017,23.012017,TRUE,FALSE,FALSE,FALSE,[23.012017],1,1
3615060,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),Large Ovals,Acanthuridae,Zebrasoma,Sailfin Tang (Zebrasoma desjardinii),,,[29.580569],[29.580569],29.580569,29.580569,29.580569,TRUE,FALSE,FALSE,FALSE,[29.580569],1,1
3615061,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),Large Ovals,Acanthuridae,Zebrasoma,Sailfin Tang (Zebrasoma desjardinii),,,[36.581712],[36.581712],36.581712,36.581712,36.581712,TRUE,FALSE,FALSE,FALSE,[36.581712],1,1
3615062,Sailfin Tang (Zebrasoma desjardinii),Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii),Large Ovals,Acanthuridae,Zebrasoma,Sailfin Tang (Zebrasoma desjardinii),,,[36.581712],[36.581712],36.581712,36.581712,36.581712,TRUE,FALSE,FALSE,FALSE,[36.581712],1,1
3615063,Sailfin TangFeeding,Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii) > Sailfin TangFeeding,Large Ovals,Acanthuridae,Zebrasoma,,,,[36.581712],[36.581712],36.581712,36.581712,36.581712,TRUE,FALSE,FALSE,FALSE,[36.581712],1,1
3615064,Sailfin TangFeeding,Large Ovals > Surgeonfishes (Acanthuridae) > Sailfin Tang (Zebrasoma desjardinii) > Sailfin TangFeeding,Large Ovals,Acanthuridae,Zebrasoma,,,,[36.581712],[36.581712],36.581712,36.581712,36.581712,TRUE,FALSE,FALSE,FALSE,[36.581712],1,1
