video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3617505,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[47.8645],[47.864500],47.864500,47.864500,47.864500,TRUE,FALSE,FALSE,[47.864500],1,1
3617506,Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Threespot Dascyllus (Dascyllus trimaculatus),Small Ovals - Damselfishes,Pomacentridae,Dascyllus,Threespot Dascyllus (Dascyllus trimaculatus),,,[47.8645],[47.864500],47.864500,47.864500,47.864500,TRUE,FALSE,FALSE,[47.864500],1,1
3617507,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[49.813213],[49.813213],49.813213,49.813213,49.813213,TRUE,FALSE,FALSE,[49.813213],1,1
3617508,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[49.813213],[49.813213],49.813213,49.813213,49.813213,TRUE,FALSE,FALSE,[49.813213],1,1
3617509,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[49.813213],[49.813213],49.813213,49.813213,49.813213,TRUE,FALSE,FALSE,[49.813213],1,1
3617510,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[49.813213],[49.813213],49.813213,49.813213,49.813213,TRUE,FALSE,FALSE,[49.813213],1,1
3617511,False-eye (Abudefduf sparoides),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > False-eye (Abudefduf sparoides),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,False-eye (Abudefduf sparoides),,,[50.30211],[50.302110],50.302110,50.302110,50.302110,TRUE,FALSE,FALSE,[50.302110],1,1
3617512,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[52.282154],[52.282154],52.282154,52.282154,52.282154,TRUE,FALSE,FALSE,[52.282154],1,1
3617513,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[58.605746],[58.605746],58.605746,58.605746,58.605746,TRUE,FALSE,FALSE,[58.605746],1,1
3617514,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[58.605746],[58.605746],58.605746,58.605746,58.605746,TRUE,FALSE,FALSE,[58.605746],1,1
3617515,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[58.605746],[58.605746],58.605746,58.605746,58.605746,TRUE,FALSE,FALSE,[58.605746],1,1
3617516,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[63.772253],[63.772253],63.772253,63.772253,63.772253,TRUE,FALSE,FALSE,[63.772253],1,1
3617517,Paletail Unicorn Feeding,Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris) > Paletail Unicorn Feeding,Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,feeding,[67.861405],[67.861405],67.861405,67.861405,67.861405,TRUE,FALSE,FALSE,[67.861405],1,1
3617518,Paletail Unicorn Feeding,Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris) > Paletail Unicorn Feeding,Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,feeding,[67.861405],[67.861405],67.861405,67.861405,67.861405,TRUE,FALSE,FALSE,[67.861405],1,1
3617519,Paletail Unicorn Feeding,Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris) > Paletail Unicorn Feeding,Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,feeding,[67.861405],[67.861405],67.861405,67.861405,67.861405,TRUE,FALSE,FALSE,[67.861405],1,1
3617520,Paletail Unicorn Feeding,Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris) > Paletail Unicorn Feeding,Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,feeding,[67.861405],[67.861405],67.861405,67.861405,67.861405,TRUE,FALSE,FALSE,[67.861405],1,1
3617531,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617532,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617533,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617534,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617535,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617536,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617537,Humpback (Lutjanus gibbus),Sloping Heads > Snappers (Lutjanidae) > Humpback (Lutjanus gibbus),Sloping Heads,Lutjanidae,Lutjanus,Humpback (Lutjanus gibbus),,,[82.195057],[82.195057],82.195057,82.195057,82.195057,TRUE,FALSE,FALSE,[82.195057],1,1
3617538,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[82.448039],[82.448039],82.448039,82.448039,82.448039,TRUE,FALSE,FALSE,[82.448039],1,1
3617539,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[83.413254],[83.413254],83.413254,83.413254,83.413254,TRUE,FALSE,FALSE,[83.413254],1,1
3617540,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[83.413254],[83.413254],83.413254,83.413254,83.413254,TRUE,FALSE,FALSE,[83.413254],1,1
3617541,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[83.413254],[83.413254],83.413254,83.413254,83.413254,TRUE,FALSE,FALSE,[83.413254],1,1
3617542,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[83.413254],[83.413254],83.413254,83.413254,83.413254,TRUE,FALSE,FALSE,[83.413254],1,1
