video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3272793,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[4.967780772],[4.967781],4.967781,4.967781,4.967781,TRUE,FALSE,FALSE,FALSE,[4.967781],1,1
3272794,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[4.967780772],[4.967781],4.967781,4.967781,4.967781,TRUE,FALSE,FALSE,FALSE,[4.967781],1,1
3272795,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[4.967780772],[4.967781],4.967781,4.967781,4.967781,TRUE,FALSE,FALSE,FALSE,[4.967781],1,1
3272796,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[6.420924141666541],[6.420924],6.420924,6.420924,6.420924,TRUE,FALSE,FALSE,FALSE,[6.420924],1,1
3272797,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[6.420924141666541],[6.420924],6.420924,6.420924,6.420924,TRUE,FALSE,FALSE,FALSE,[6.420924],1,1
3272798,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[13.841021264667564],[13.841021],13.841021,13.841021,13.841021,TRUE,FALSE,FALSE,FALSE,[13.841021],1,1
3272799,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[17.004474917333226],[17.004475],17.004475,17.004475,17.004475,TRUE,FALSE,FALSE,FALSE,[17.004475],1,1
3272800,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[17.004474917333226],[17.004475],17.004475,17.004475,17.004475,TRUE,FALSE,FALSE,FALSE,[17.004475],1,1
3272801,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[17.004474917333226],[17.004475],17.004475,17.004475,17.004475,TRUE,FALSE,FALSE,FALSE,[17.004475],1,1
3272802,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272803,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272804,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272805,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272806,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272807,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272808,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.944022509666436],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272809,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.9440225],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
3272810,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[15.9440225],[15.944023],15.944023,15.944023,15.944023,TRUE,FALSE,FALSE,FALSE,[15.944023],1,1
