video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3369017,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),Wrasses,Labridae,Gomphosus,Bird wrasse (Gomphosus caeruleus),,,[0.500213625],[0.500214],0.500214,0.500214,0.500214,TRUE,FALSE,FALSE,FALSE,[0.500214],1,1
3369018,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[0.500213625],[0.500214],0.500214,0.500214,0.500214,TRUE,FALSE,FALSE,FALSE,[0.500214],1,1
3369019,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[3.807058014927305],[3.807058],3.807058,3.807058,3.807058,TRUE,FALSE,FALSE,FALSE,[3.807058],1,1
3369020,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[3.807058014927305],[3.807058],3.807058,3.807058,3.807058,TRUE,FALSE,FALSE,FALSE,[3.807058],1,1
3369021,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[4.307998582610226],[4.307999],4.307999,4.307999,4.307999,TRUE,FALSE,FALSE,FALSE,[4.307999],1,1
3369022,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[4.307998582610226],[4.307999],4.307999,4.307999,4.307999,TRUE,FALSE,FALSE,FALSE,[4.307999],1,1
3369023,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[4.307998582610226],[4.307999],4.307999,4.307999,4.307999,TRUE,FALSE,FALSE,FALSE,[4.307999],1,1
3369024,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[4.307998582610226],[4.307999],4.307999,4.307999,4.307999,TRUE,FALSE,FALSE,FALSE,[4.307999],1,1
3369025,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),Parrotfishes,Scaridae,Chlorurus,Bullethead (Chlorurus sordidus),,,[7.685043610937706],[7.685044],7.685044,7.685044,7.685044,TRUE,FALSE,FALSE,FALSE,[7.685044],1,1
3369028,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),Parrotfishes,Scaridae,Chlorurus,Bullethead (Chlorurus sordidus),,,[10.411612663405592],[10.411613],10.411613,10.411613,10.411613,TRUE,FALSE,FALSE,FALSE,[10.411613],1,1
3369029,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),Parrotfishes,Scaridae,Chlorurus,Bullethead (Chlorurus sordidus),,,[10.411612663405592],[10.411613],10.411613,10.411613,10.411613,TRUE,FALSE,FALSE,FALSE,[10.411613],1,1
3369030,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),Parrotfishes,Scaridae,Chlorurus,Bullethead (Chlorurus sordidus),,,[10.411612663405592],[10.411613],10.411613,10.411613,10.411613,TRUE,FALSE,FALSE,FALSE,[10.411613],1,1
3369031,Bullethead (Chlorurus sordidus),Parrotfishes > Parrotfishes (Scaridae) > Bullethead (Chlorurus sordidus),Parrotfishes,Scaridae,Chlorurus,Bullethead (Chlorurus sordidus),,,[10.411612663405592],[10.411613],10.411613,10.411613,10.411613,TRUE,FALSE,FALSE,FALSE,[10.411613],1,1
3369032,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[12.541321157336435],[12.541321],12.541321,12.541321,12.541321,TRUE,FALSE,FALSE,FALSE,[12.541321],1,1
3369033,Green Feeding,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus) > Green Feeding,Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,feeding,[16.71269684396612],[16.712697],16.712697,16.712697,16.712697,TRUE,FALSE,FALSE,FALSE,[16.712697],1,1
3369034,Checkerboard (Halichoeres hortulanus),Wrasses > Wrasses (Labridae) > Checkerboard (Halichoeres hortulanus),Wrasses,Labridae,Halichoeres,Checkerboard (Halichoeres hortulanus),,,[19.423490062986968],[19.423490],19.423490,19.423490,19.423490,TRUE,FALSE,FALSE,FALSE,[19.423490],1,1
3369035,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful,Pomacanthidae,Centropyge,Brown Pigmy (Centropyge multispinis),,,[49.64574806766436],[49.645748],49.645748,49.645748,49.645748,TRUE,FALSE,FALSE,FALSE,[49.645748],1,1
3369037,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[68.49786978135101],[68.497870],68.497870,68.497870,68.497870,TRUE,FALSE,FALSE,FALSE,[68.497870],1,1
3369038,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[77.18875163367262],[77.188752],77.188752,77.188752,77.188752,TRUE,FALSE,FALSE,FALSE,[77.188752],1,1
3369039,Barred (Hemigymnus fasciatus),Wrasses > Wrasses (Labridae) > Barred (Hemigymnus fasciatus),Wrasses,Labridae,Hemigymnus,Barred (Hemigymnus fasciatus),,,[80.66472660596399],[80.664727],80.664727,80.664727,80.664727,TRUE,FALSE,FALSE,FALSE,[80.664727],1,1
3369040,Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers > Goatfishes (Mullidae) > Longbarbel (Parupeneus macronemus),Odd-shaped Swimmers,Mullidae,Parupeneus,Longbarbel (Parupeneus macronemus),,,[105.1070515389564],[105.107052],105.107052,105.107052,105.107052,TRUE,FALSE,FALSE,FALSE,[105.107052],1,1
3369041,Regal (Pygoplites diacanthus),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Regal (Pygoplites diacanthus),Disk-shaped/Colourful,Pomacanthidae,Pygoplites,Regal (Pygoplites diacanthus),,,[154.52606990692112],[154.526070],154.526070,154.526070,154.526070,TRUE,FALSE,FALSE,FALSE,[154.526070],1,1
3369042,Chevroned (Chaetodon trifascialis),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Chevroned (Chaetodon trifascialis),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Chevroned (Chaetodon trifascialis),,,[159.9482059813164],[159.948206],159.948206,159.948206,159.948206,TRUE,FALSE,FALSE,FALSE,[159.948206],1,1
3369043,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),Wrasses,Labridae,Thalassoma,Sixbar (Thalassoma hardwicke),,,[168.81546498430782],[168.815465],168.815465,168.815465,168.815465,TRUE,FALSE,FALSE,FALSE,[168.815465],1,1
3369044,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[228.67317486168568],[228.673175],228.673175,228.673175,228.673175,TRUE,FALSE,FALSE,FALSE,[228.673175],1,1
3369045,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[229.7975295497483],[229.797530],229.797530,229.797530,229.797530,TRUE,FALSE,FALSE,FALSE,[229.797530],1,1
