video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3386140,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[1.082301308],[1.082301],1.082301,1.082301,1.082301,TRUE,FALSE,FALSE,FALSE,[1.082301],1,1
3386141,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful,Pomacanthidae,Centropyge,Brown Pigmy (Centropyge multispinis),,,[3.8159340443323337],[3.815934],3.815934,3.815934,3.815934,TRUE,FALSE,FALSE,FALSE,[3.815934],1,1
3386142,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[4.788441483667415],[4.788441],4.788441,4.788441,4.788441,TRUE,FALSE,FALSE,FALSE,[4.788441],1,1
3386143,Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),Large Ovals,Acanthuridae,Acanthurus,Whitetail (Acanthurus thompsoni),,,[7.544921348340084],[7.544921],7.544921,7.544921,7.544921,TRUE,FALSE,FALSE,FALSE,[7.544921],1,1
3386576,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.528430581671921],[11.528431],11.528431,11.528431,11.528431,TRUE,FALSE,FALSE,FALSE,[11.528431],1,1
3386579,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[14.338274228002497],[14.338274],14.338274,14.338274,14.338274,TRUE,FALSE,FALSE,FALSE,[14.338274],1,1
3386621,Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),Large Ovals,Acanthuridae,Acanthurus,Whitetail (Acanthurus thompsoni),,,[29.63797179233261],[29.637972],29.637972,29.637972,29.637972,TRUE,FALSE,FALSE,FALSE,[29.637972],1,1
3386622,Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),Large Ovals,Acanthuridae,Acanthurus,Whitetail (Acanthurus thompsoni),,,[29.63797179233261],[29.637972],29.637972,29.637972,29.637972,TRUE,FALSE,FALSE,FALSE,[29.637972],1,1
3386623,Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),Large Ovals,Acanthuridae,Acanthurus,Whitetail (Acanthurus thompsoni),,,[45.198157756326076],[45.198158],45.198158,45.198158,45.198158,TRUE,FALSE,FALSE,FALSE,[45.198158],1,1
3386624,Whitetail (Acanthurus thompsoni),Large Ovals > Surgeonfishes (Acanthuridae) > Whitetail (Acanthurus thompsoni),Large Ovals,Acanthuridae,Acanthurus,Whitetail (Acanthurus thompsoni),,,[45.198157756326076],[45.198158],45.198158,45.198158,45.198158,TRUE,FALSE,FALSE,FALSE,[45.198158],1,1
