video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
999000001,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
999000002,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[1.0],[1.0],1.0,1.0,1.0,TRUE,FALSE,FALSE,[1.0],1,1
3400217,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[5.8250787],[5.825079],5.825079,5.825079,5.825079,TRUE,FALSE,FALSE,[5.825079],1,1
3400218,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[7.4238038],[7.423804],7.423804,7.423804,7.423804,TRUE,FALSE,FALSE,[7.423804],1,1
3400219,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[7.4238038],[7.423804],7.423804,7.423804,7.423804,TRUE,FALSE,FALSE,[7.423804],1,1
3400220,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[20.9545353],[20.954535],20.954535,20.954535,20.954535,TRUE,FALSE,FALSE,[20.954535],1,1
3400221,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[20.9545353],[20.954535],20.954535,20.954535,20.954535,TRUE,FALSE,FALSE,[20.954535],1,1
3400222,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[69.0319995],[69.031999],69.031999,69.031999,69.031999,TRUE,FALSE,FALSE,[69.031999],1,1
3400223,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[82.1195681],[82.119568],82.119568,82.119568,82.119568,TRUE,FALSE,FALSE,[82.119568],1,1
3400224,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[82.1195681],[82.119568],82.119568,82.119568,82.119568,TRUE,FALSE,FALSE,[82.119568],1,1
