video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,split_time_reset_note,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3467948,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[1.9399333],[1.939933],1.939933,1.939933,1.939933,TRUE,FALSE,FALSE,FALSE,[1.939933],1,1
3467949,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[3.4193225],[3.419322],3.419322,3.419322,3.419322,TRUE,FALSE,FALSE,FALSE,[3.419322],1,1
3467950,Lined Bristletooth (Ctenochaetus striatus),Large Ovals > Surgeonfishes (Acanthuridae) > Lined Bristletooth (Ctenochaetus striatus),Large Ovals,Acanthuridae,Ctenochaetus,Lined Bristletooth (Ctenochaetus striatus),,,[3.4193225],[3.419322],3.419322,3.419322,3.419322,TRUE,FALSE,FALSE,FALSE,[3.419322],1,1
3467951,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[4.3883563],[4.388356],4.388356,4.388356,4.388356,TRUE,FALSE,FALSE,FALSE,[4.388356],1,1
3467952,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[7.5792366],[7.579237],7.579237,7.579237,7.579237,TRUE,FALSE,FALSE,FALSE,[7.579237],1,1
3467953,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[7.5792366],[7.579237],7.579237,7.579237,7.579237,TRUE,FALSE,FALSE,FALSE,[7.579237],1,1
3467954,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[14.4675828],[14.467583],14.467583,14.467583,14.467583,TRUE,FALSE,FALSE,FALSE,[14.467583],1,1
3467955,Bird wrasse (Gomphosus caeruleus),Wrasses > Wrasses (Labridae) > Bird wrasse (Gomphosus caeruleus),Wrasses,Labridae,Gomphosus,Bird wrasse (Gomphosus caeruleus),,,[22.6432043],[22.643204],22.643204,22.643204,22.643204,TRUE,FALSE,FALSE,FALSE,[22.643204],1,1
3467959,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[64.8206926],[64.820693],64.820693,64.820693,64.820693,TRUE,FALSE,FALSE,FALSE,[64.820693],1,1
3467960,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[64.8206926],[64.820693],64.820693,64.820693,64.820693,TRUE,FALSE,FALSE,FALSE,[64.820693],1,1
3467961,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[64.3919169],[64.391917],64.391917,64.391917,64.391917,TRUE,FALSE,FALSE,FALSE,[64.391917],1,1
3467962,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[64.3919169],[64.391917],64.391917,64.391917,64.391917,TRUE,FALSE,FALSE,FALSE,[64.391917],1,1
3467963,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[64.3919169],[64.391917],64.391917,64.391917,64.391917,TRUE,FALSE,FALSE,FALSE,[64.391917],1,1
3467964,Sixbar (Thalassoma hardwicke),Wrasses > Wrasses (Labridae) > Sixbar (Thalassoma hardwicke),Wrasses,Labridae,Thalassoma,Sixbar (Thalassoma hardwicke),,,[66.9557265],[66.955726],66.955726,66.955726,66.955726,TRUE,FALSE,FALSE,FALSE,[66.955726],1,1
3467965,Genus Chromis,Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Genus Chromis,Small Ovals - Damselfishes,Pomacentridae,Genus Chromis,,,,[67.255757],[67.255757],67.255757,67.255757,67.255757,TRUE,FALSE,FALSE,FALSE,[67.255757],1,1
3467966,Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful > Angelfishes (Pomacanthidae) > Brown Pigmy (Centropyge multispinis),Disk-shaped/Colourful,Pomacanthidae,Centropyge,Brown Pigmy (Centropyge multispinis),,,[68.6889257],[68.688926],68.688926,68.688926,68.688926,TRUE,FALSE,FALSE,FALSE,[68.688926],1,1
3467967,Brown Tang (Zebrasoma scopas),Large Ovals > Surgeonfishes (Acanthuridae) > Brown Tang (Zebrasoma scopas),Large Ovals,Acanthuridae,Zebrasoma,Brown Tang (Zebrasoma scopas),,,[75.9625189],[75.962519],75.962519,75.962519,75.962519,TRUE,FALSE,FALSE,FALSE,[75.962519],1,1
3467968,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[98.6958626],[98.695863],98.695863,98.695863,98.695863,TRUE,FALSE,FALSE,FALSE,[98.695863],1,1
3467969,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[98.6958626],[98.695863],98.695863,98.695863,98.695863,TRUE,FALSE,FALSE,FALSE,[98.695863],1,1
3467970,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[98.6958626],[98.695863],98.695863,98.695863,98.695863,TRUE,FALSE,FALSE,FALSE,[98.695863],1,1
3467971,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[98.6958626],[98.695863],98.695863,98.695863,98.695863,TRUE,FALSE,FALSE,FALSE,[98.695863],1,1
3467972,Parrotfishes (Scaridae),Parrotfishes > Parrotfishes (Scaridae),Parrotfishes,Scaridae,,,,,[102.3203656],[102.320366],102.320366,102.320366,102.320366,TRUE,FALSE,FALSE,FALSE,[102.320366],1,1
3467973,Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips > Groupers (Serranidae) > Redmouth (Aethaloperca rogaa),Heavy Bodies/Large Lips,Serranidae,Aethaloperca,Redmouth (Aethaloperca rogaa),,,[111.5660063],[111.566006],111.566006,111.566006,111.566006,TRUE,FALSE,FALSE,FALSE,[111.566006],1,1
3467974,Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful > Butterflyfishes (Chaetodontidae) > Spotted (Chaetodon guttatissimus),Disk-shaped/Colourful,Chaetodontidae,Chaetodon,Spotted (Chaetodon guttatissimus),,,[141.0570619],[141.057062],141.057062,141.057062,141.057062,TRUE,FALSE,FALSE,FALSE,[141.057062],1,1
3467975,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[170.9572789],[170.957279],170.957279,170.957279,170.957279,TRUE,FALSE,FALSE,FALSE,[170.957279],1,1
3467976,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[178.354427],[178.354427],178.354427,178.354427,178.354427,TRUE,FALSE,FALSE,FALSE,[178.354427],1,1
3467977,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[178.354427],[178.354427],178.354427,178.354427,178.354427,TRUE,FALSE,FALSE,FALSE,[178.354427],1,1
3467978,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[178.354427],[178.354427],178.354427,178.354427,178.354427,TRUE,FALSE,FALSE,FALSE,[178.354427],1,1
3467979,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[178.354427],[178.354427],178.354427,178.354427,178.354427,TRUE,FALSE,FALSE,FALSE,[178.354427],1,1
3467980,Paletail Unicorn (Naso brevirostris),Large Ovals > Surgeonfishes (Acanthuridae) > Paletail Unicorn (Naso brevirostris),Large Ovals,Acanthuridae,Naso,Paletail Unicorn (Naso brevirostris),,,[178.354427],[178.354427],178.354427,178.354427,178.354427,TRUE,FALSE,FALSE,FALSE,[178.354427],1,1
3467981,Triggerfishes (Balistidae),Odd-shaped Swimmers > Triggerfishes (Balistidae),Odd-shaped Swimmers,Balistidae,,,,,[181.7910532],[181.791053],181.791053,181.791053,181.791053,TRUE,FALSE,FALSE,FALSE,[181.791053],1,1
3467982,Triggerfishes (Balistidae),Odd-shaped Swimmers > Triggerfishes (Balistidae),Odd-shaped Swimmers,Balistidae,,,,,[181.7910532],[181.791053],181.791053,181.791053,181.791053,TRUE,FALSE,FALSE,FALSE,[181.791053],1,1
3467983,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[183.782984],[183.782984],183.782984,183.782984,183.782984,TRUE,FALSE,FALSE,FALSE,[183.782984],1,1
3467984,Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Scissortail Sergeant (Abudefduf sexfasciatus),Small Ovals - Damselfishes,Pomacentridae,Abudefduf,Scissortail Sergeant (Abudefduf sexfasciatus),,,[183.782984],[183.782984],183.782984,183.782984,183.782984,TRUE,FALSE,FALSE,FALSE,[183.782984],1,1
