video_annotation_label_id,label_name,label_hierarchy,unspecific,family,genus,species,interested,feeding,frames,time_sec_local,time_sec_local_first,time_sec_local_last,time_sec_local_max,included_47min,is_short_control_nursery,is_split_video,frames_kept_47min,frame_count_raw,frame_count_kept_47min
3554743,Blacktip (Epinephelus fasciatus),Heavy Bodies/Large Lips > Groupers (Serranidae) > Blacktip (Epinephelus fasciatus),Heavy Bodies/Large Lips,Serranidae,Epinephelus,Blacktip (Epinephelus fasciatus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554744,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554745,Goldbar (Thalassoma hebraicum),Wrasses > Wrasses (Labridae) > Goldbar (Thalassoma hebraicum),Wrasses,Labridae,Thalassoma,Goldbar (Thalassoma hebraicum),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554746,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554747,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554748,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554749,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554750,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554751,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554752,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[12.1564655],[12.156465],12.156465,12.156465,12.156465,TRUE,FALSE,FALSE,[12.156465],1,1
3554753,Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Indian Half-and-Half (Pycnochromis dimidiatus),Small Ovals - Damselfishes,Pomacentridae,Pycnochromis,Indian Half-and-Half (Pycnochromis dimidiatus),,,[12.3588901],[12.358890],12.358890,12.358890,12.358890,TRUE,FALSE,FALSE,[12.358890],1,1
3554754,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[13.6533587],[13.653359],13.653359,13.653359,13.653359,TRUE,FALSE,FALSE,[13.653359],1,1
3554755,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[13.6533587],[13.653359],13.653359,13.653359,13.653359,TRUE,FALSE,FALSE,[13.653359],1,1
3554756,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[13.6533587],[13.653359],13.653359,13.653359,13.653359,TRUE,FALSE,FALSE,[13.653359],1,1
3554757,Moon (Thalassoma lunare),Wrasses > Wrasses (Labridae) > Moon (Thalassoma lunare),Wrasses,Labridae,Thalassoma,Moon (Thalassoma lunare),,,[13.6533587],[13.653359],13.653359,13.653359,13.653359,TRUE,FALSE,FALSE,[13.653359],1,1
3554758,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[10.9234911],[10.923491],10.923491,10.923491,10.923491,TRUE,FALSE,FALSE,[10.923491],1,1
3554759,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[10.9234911],[10.923491],10.923491,10.923491,10.923491,TRUE,FALSE,FALSE,[10.923491],1,1
3554760,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[10.9234911],[10.923491],10.923491,10.923491,10.923491,TRUE,FALSE,FALSE,[10.923491],1,1
3554761,Orange-lined (Balistapus undulatus),Odd-shaped Swimmers > Triggerfishes (Balistidae) > Orange-lined (Balistapus undulatus),Odd-shaped Swimmers,Balistidae,Balistapus,Orange-lined (Balistapus undulatus),,,[10.9234911],[10.923491],10.923491,10.923491,10.923491,TRUE,FALSE,FALSE,[10.923491],1,1
3554762,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.9924207],[11.992421],11.992421,11.992421,11.992421,TRUE,FALSE,FALSE,[11.992421],1,1
3554763,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.9924207],[11.992421],11.992421,11.992421,11.992421,TRUE,FALSE,FALSE,[11.992421],1,1
3554764,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.9924207],[11.992421],11.992421,11.992421,11.992421,TRUE,FALSE,FALSE,[11.992421],1,1
3554765,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.9924207],[11.992421],11.992421,11.992421,11.992421,TRUE,FALSE,FALSE,[11.992421],1,1
3554766,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.9924207],[11.992421],11.992421,11.992421,11.992421,TRUE,FALSE,FALSE,[11.992421],1,1
3554767,Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes > Damselfishes (Pomacentridae) > Green (Amblyglyphidodon indicus),Small Ovals - Damselfishes,Pomacentridae,Amblyglyphidodon,Green (Amblyglyphidodon indicus),,,[11.9924207],[11.992421],11.992421,11.992421,11.992421,TRUE,FALSE,FALSE,[11.992421],1,1
3554769,Wrasses (Labridae),Wrasses > Wrasses (Labridae),Wrasses,Labridae,,,,,[14.6503742],[14.650374],14.650374,14.650374,14.650374,TRUE,FALSE,FALSE,[14.650374],1,1
3554770,Wrasses (Labridae),Wrasses > Wrasses (Labridae),Wrasses,Labridae,,,,,[14.6503742],[14.650374],14.650374,14.650374,14.650374,TRUE,FALSE,FALSE,[14.650374],1,1
