filename,area,rows_total,rows_kept_47min,rows_removed_after_47min,frame_values_total,frame_values_kept_47min,max_original_seconds,is_short_control_nursery,is_split_video
20240515-milimani-mackerel.csv,Annotation_reports_coral_reef,379,379,0,379,379,708.708000,FALSE,TRUE
20240516-utumbi-mackerel.csv,Annotation_reports_coral_reef,536,536,0,536,536,698.754927,FALSE,TRUE
20241025-milimani-mackerel.csv,Annotation_reports_coral_reef,491,484,7,492,485,3531.226579,FALSE,FALSE
20241025-utumbi-ulva_salad.csv,Annotation_reports_coral_reef,562,550,12,564,552,3228.893962,FALSE,FALSE
20241026-milimani-ulva_gutweed.csv,Annotation_reports_coral_reef,135,128,7,135,128,3352.449313,FALSE,FALSE
20241026-utumbi-mackerel.csv,Annotation_reports_coral_reef,395,395,0,395,395,2589.013620,FALSE,FALSE
20241027-milimani-ulva_salad.csv,Annotation_reports_coral_reef,112,106,6,112,106,3478.049734,FALSE,FALSE
20241027-utumbi-ulva_salad.csv,Annotation_reports_coral_reef,391,381,10,391,381,3475.189581,FALSE,FALSE
20241029-milimani-ulva_gutweed.csv,Annotation_reports_coral_reef,149,149,0,149,149,2661.282729,FALSE,FALSE
20241029-utumbi-ulva_gutweed.csv,Annotation_reports_coral_reef,375,367,8,375,367,3595.648013,FALSE,FALSE
20241030-milimani-ulva_gutweed.csv,Annotation_reports_coral_reef,197,181,16,197,181,3144.431690,FALSE,FALSE
20241030-utumbi-ulva_gutweed.csv,Annotation_reports_coral_reef,252,227,25,252,227,3440.845364,FALSE,FALSE
20241105-milimani-ulva_salad.csv,Annotation_reports_coral_reef,109,54,55,109,54,3524.452319,FALSE,FALSE
20241105-utumbi-control.csv,Annotation_reports_coral_reef,399,398,1,399,398,2831.368253,FALSE,FALSE
20241110-milimani-ulva_salad.csv,Annotation_reports_coral_reef,326,320,6,326,320,3563.556272,FALSE,FALSE
20241110-utumbi-ulva_salad.csv,Annotation_reports_coral_reef,346,316,30,346,316,3561.988944,FALSE,FALSE
20241111-milimani-control.csv,Annotation_reports_coral_reef,343,334,9,343,334,3534.878734,FALSE,FALSE
20241111-utumbi-control.csv,Annotation_reports_coral_reef,270,117,153,270,117,3435.458461,FALSE,FALSE
20241112-milimani-ulva_salad.csv,Annotation_reports_coral_reef,280,268,12,280,268,3556.761094,FALSE,FALSE
20241112-utumbi-ulva_gutweed.csv,Annotation_reports_coral_reef,224,106,118,224,106,3536.037629,FALSE,FALSE
20241114-milimani-control.csv,Annotation_reports_coral_reef,187,180,7,187,180,3440.973950,FALSE,FALSE
20241114-utumbi-control.csv,Annotation_reports_coral_reef,155,135,20,155,135,3509.010253,FALSE,FALSE
20241115-milimani-control.csv,Annotation_reports_coral_reef,169,148,21,169,148,3452.521700,FALSE,FALSE
20241115-utumbi-control.csv,Annotation_reports_coral_reef,283,235,48,283,235,3545.548352,FALSE,FALSE
20241124-milimani-mackerel.csv,Annotation_reports_coral_reef,344,287,57,344,287,3481.404197,FALSE,FALSE
20241124-utumbi-mackerel.csv,Annotation_reports_coral_reef,362,248,114,362,248,3425.762157,FALSE,FALSE
20241127-milimani-sargassum.csv,Annotation_reports_coral_reef,243,214,29,245,214,3516.511053,FALSE,FALSE
20241127-utumbi-sargassum.csv,Annotation_reports_coral_reef,310,293,17,310,293,3417.089846,FALSE,FALSE
20241128-milimani-sargassum.csv,Annotation_reports_coral_reef,398,391,7,398,391,3481.178467,FALSE,FALSE
20241128-utumbi-sargassum.csv,Annotation_reports_coral_reef,271,235,36,271,235,3535.526385,FALSE,FALSE
20241129-milimani-sargassum.csv,Annotation_reports_coral_reef,339,320,19,339,320,3415.113107,FALSE,FALSE
20241129-utumbi-sargassum.csv,Annotation_reports_coral_reef,273,217,56,273,217,3421.602514,FALSE,FALSE
20241209-utumbi-fischmix.csv,Annotation_reports_coral_reef,428,373,55,428,373,3542.133453,FALSE,FALSE
20241210-milimani-fischmix.csv,Annotation_reports_coral_reef,459,354,105,459,354,3487.913449,FALSE,FALSE
20241210-utumbi-fischmix.csv,Annotation_reports_coral_reef,331,249,82,331,249,3512.860791,FALSE,FALSE
20240106-nursery-mackerel.csv,Annotation_reports_Nursery,138,138,0,138,138,528.832040,FALSE,TRUE
20240108-nursery-control.csv,Annotation_reports_Nursery,69,69,0,69,69,531.380934,TRUE,TRUE
20240223-nursery-mackerel.csv,Annotation_reports_Nursery,224,224,0,224,224,531.562000,FALSE,TRUE
20241126-nursery-mackerel.csv,Annotation_reports_Nursery,378,378,0,378,378,660.011122,FALSE,TRUE
20241204-nursery-algae_strings.csv,Annotation_reports_Nursery,230,224,6,230,224,3308.676293,FALSE,FALSE
20241205-nursery-algae_strings.csv,Annotation_reports_Nursery,222,204,18,222,204,3365.849289,FALSE,FALSE
20241206-nursery-algae_strings.csv,Annotation_reports_Nursery,177,168,9,177,168,3579.677766,FALSE,FALSE
20241208-nursery-algaemix.csv,Annotation_reports_Nursery,425,420,5,425,420,3389.163968,FALSE,FALSE
20241209-nursery-algaemix.csv,Annotation_reports_Nursery,311,303,8,311,303,3038.376665,FALSE,FALSE
20241210-nursery-algaemix.csv,Annotation_reports_Nursery,204,201,3,204,201,3583.768753,FALSE,FALSE
20251212-nursery-mackerel.csv,Annotation_reports_Nursery,169,169,0,169,169,531.562000,FALSE,TRUE
