milimani_only,utumbi_only,shared_milimani_utumbi
family_label::butterflyfishes (chaetodontidae),family_label::blennies (blenniidae),family_label::emperors (lethrinidae)
family_label::cornetfishes (fistulariidae),family_label::fusiliers (caesionidae),family_label::groupers (serranidae)
family_label::filefishes (monacanthidae),family_label::morays (muraenidae),family_label::groupers feeding
family_label::goatfishes (mullidae),family_label::naso feeding,family_label::groupers interested
family_label::puffers (tetraodontidae),family_label::scorpion-&lionfishes (scorpaenidae),family_label::jacks/trevallyes (carangidae)
family_label::turtle (cheloniidae),family_label::wrasses interested,family_label::parrotfishes (scaridae)
genus::genus acanthurus,genus::genus caesio,family_label::surgeonfishes (acanthuridae)
label::stomatapoda,genus::genus ctenochaetus,family_label::triggerfishes (balistidae)
species::indian longnose (hipposcarus harid),species::blacktip (epinephelus fasciatus),family_label::tunas/mackerels (scombridae)
species::lyretail hogfish (bodianus anthioides),species::brassy trevally (caranx papuensis),family_label::wrasses (labridae)
species::masked banner (heniochus monoceros),species::cigar (cheilio inermis),genus::genus chromis
species::scissortail sergeant (abudefduf sexfasciatus),species::claudia (halichoeres claudia),genus::genus naso
species::spotted toby (canthigaster solandri),species::clown (coris aygula),genus::genus siganus
species::titan (balistoides viridescens),species::emperor (pomacanthus imperator),genus::genus soldier
species::weber's puller (chromis weberi),species::false-eye (abudefduf sparoides),genus::genus squirrel
species::yellowstripe (mulloidichthys flavolineatus),species::five-saddle (scarus saber),species::arabian monocle (scolopsis ghanam)
,species::golden (ctenochaetus truncates),species::axilspot hogfish (bodianus axillaris)
,species::halfmoon (sufflamen chrysopterum),species::barred (hemigymnus fasciatus)
,species::indian half-and-half (pycnochromis dimidiatusf),species::bicolor (labroides bicolor)
,species::longnose (lethrinus olivaceus),species::bird wrasse (gomphosus caeruleus)
,species::palenose (scarus psittacus),species::black saddled toby (canthigaster valentini)
,species::piano fangblenny (plagiotremus tapeinosoma),species::black-backed (chaetodon melannotus)
,species::powder blue (acanthurus leucosternon),species::black-lipped (chaetodon kleinii)
,species::queenfish (scomberoides lysan),species::blackeye (hemigymnus melapterus)
,species::spot-tail (coris caudimacula),species::blue-green (chromis viridis)
,species::spotted (diodon hystrix),species::blue-streak (labroides dimidiatus)
,species::sulfur (pomacentrus sulfureus),species::bluefin (caranx melampygus)
,species::threespot (apolemichthys trimaculatus),species::brown pigmy (centropyge multispinis)
,species::whiteline (stethojulis albovittata),species::brown tang (zebrasoma scopas)
,species::whitetail (acanthurus thompsoni),species::bullethead (chlorurus sordidus)
,species::yellowbreast (anampses twistii),species::checkerboard (halichoeres hortulanus)
,species::yellowtail (anampses meleagrides),species::chevroned (chaetodon trifascialis)
,,species::disappearing (pseudocheilinus evanidus)
,,species::eclipse (chaetodon bennetti)
,,species::elegant unicorn (naso elegans)
,,species::freckled (paracirrhites forsteri)
,,species::goldbar (thalassoma hebraicum)
,,species::green (amblyglyphidodon indicus)
,,species::honeycomb (siganus stellatus)
,,species::humpback unicorn (naso brachycentron)
,,species::humphead (cheilinus undulatus)
,,species::humpnose bigeye (monotaxis grandoculis)
,,species::indian half-and-half (pycnochromis dimidiatus)
,,species::indian redfin (chaetodon trifasciatus)
,,species::leopard (cephalopholis leopardus)
,,species::lined (chaetodon lineolatus)
,,species::lined bristletooth (ctenochaetus striatus)
,,species::linedcheeked (oxycheilinus digramma)
,,species::longbarbel (parupeneus macronemus)
,,species::longfin banner (heniochus acuminatus)
,,species::longnose (forcipiger flavissimus)
,,species::longnose (oxymonacanthus longirostris)
,,species::meyer's (chaetodon meyeri)
,,species::monk (acanthurus gahhm)
,,species::moon (thalassoma lunare)
,,species::moorish idol (zanclus cornutus)
,,species::mozambique fangblenny (meiacanthus mossambicus)
,,species::orange-lined (balistapus undulatus)
,,species::orangespotted (lethrinus erythracanthus)
,,species::paletail unicorn (naso brevirostris)
,,species::peacock (cephalopholis argus)
,,species::potato (epinephelus tukula)
,,species::pyramid (hemitaurichthys zoster)
,,species::raccoon (chaetodon lunula)
,,species::red (lutjanus bohar)
,,species::red-breasted (cheilinus fasciatus)
,,species::redmouth (aethaloperca rogaa)
,,species::regal (pygoplites diacanthus)
,,species::rockmover (novaculichthys taeniourus)
,,species::saddleback (chaetodon falcula)
,,species::sailfin tang (zebrasoma desjardinii)
,,species::scrawled (aluterus scriptus)
,,species::sidespot (parupeneus pleurostigma)
,,species::sixbar (thalassoma hardwicke)
,,species::slingjaw (epibulus insidiator)
,,species::snubnose (lethrinus borbonicus)
,,species::speckled (parapercis hexophthalma)
,,species::spotted (cetoscarus ocellatus)
,,species::spotted (chaetodon guttatissimus)
,,species::stareye (calotomus carolinus)
,,species::swarthy (scarus niger)
,,species::ternate (chromis ternatensis)
,,species::threadfin (chaetodon auriga)
,,species::trumpetfish (aulostomus chinensis)
,,species::tubelip (labrichthys unilineatus)
,,species::undulated (gymnothorax undulatus)
,,species::wirenet (cantherhines pardalis)
,,species::yellowhead (chaetodon xanthocephalus)
