taxon_key
family_label::emperors (lethrinidae)
family_label::groupers (serranidae)
family_label::groupers feeding
family_label::jacks/trevallyes (carangidae)
family_label::parrotfishes (scaridae)
family_label::triggerfishes (balistidae)
family_label::wrasses (labridae)
genus::genus chromis
genus::genus siganus
species::arabian monocle (scolopsis ghanam)
species::bicolor (labroides bicolor)
species::bird wrasse (gomphosus caeruleus)
species::black saddled toby (canthigaster valentini)
species::black-backed (chaetodon melannotus)
species::black-lipped (chaetodon kleinii)
species::blue-streak (labroides dimidiatus)
species::bluefin (caranx melampygus)
species::brown pigmy (centropyge multispinis)
species::brown tang (zebrasoma scopas)
species::bullethead (chlorurus sordidus)
species::checkerboard (halichoeres hortulanus)
species::disappearing (pseudocheilinus evanidus)
species::goldbar (thalassoma hebraicum)
species::green (amblyglyphidodon indicus)
species::honeycomb (siganus stellatus)
species::humpnose bigeye (monotaxis grandoculis)
species::indian redfin (chaetodon trifasciatus)
species::lined bristletooth (ctenochaetus striatus)
species::linedcheeked (oxycheilinus digramma)
species::longbarbel (parupeneus macronemus)
species::longfin banner (heniochus acuminatus)
species::monk (acanthurus gahhm)
species::moon (thalassoma lunare)
species::moorish idol (zanclus cornutus)
species::mozambique fangblenny (meiacanthus mossambicus)
species::paletail unicorn (naso brevirostris)
species::raccoon (chaetodon lunula)
species::red (lutjanus bohar)
species::red-breasted (cheilinus fasciatus)
species::redmouth (aethaloperca rogaa)
species::rockmover (novaculichthys taeniourus)
species::saddleback (chaetodon falcula)
species::sailfin tang (zebrasoma desjardinii)
species::scrawled (aluterus scriptus)
species::sidespot (parupeneus pleurostigma)
species::sixbar (thalassoma hardwicke)
species::snubnose (lethrinus borbonicus)
species::speckled (parapercis hexophthalma)
species::threadfin (chaetodon auriga)
species::trumpetfish (aulostomus chinensis)
species::wirenet (cantherhines pardalis)
species::yellowhead (chaetodon xanthocephalus)
