taxon_key,milimani,utumbi,nursery,n_sites_present,presence_pattern
family_label::batfishes (ephippidae),0,0,1,1,001
family_label::blennies (blenniidae),0,1,1,2,011
family_label::butterflyfishes (chaetodontidae),1,0,0,1,100
family_label::cornetfishes (fistulariidae),1,0,1,2,101
family_label::emperors (lethrinidae),1,1,1,3,111
family_label::filefishes (monacanthidae),1,0,0,1,100
family_label::fusiliers (caesionidae),0,1,1,2,011
family_label::goatfishes (mullidae),1,0,1,2,101
family_label::groupers (serranidae),1,1,1,3,111
family_label::groupers feeding,1,1,1,3,111
family_label::groupers interested,1,1,0,2,110
family_label::jacks/trevallyes (carangidae),1,1,1,3,111
family_label::morays (muraenidae),0,1,0,1,010
family_label::naso feeding,0,1,0,1,010
family_label::parrotfishes (scaridae),1,1,1,3,111
family_label::parrotfishes feeding,0,0,1,1,001
family_label::puffers (tetraodontidae),1,0,1,2,101
family_label::scorpion-&lionfishes (scorpaenidae),0,1,0,1,010
family_label::siganus feeding,0,0,1,1,001
family_label::snappers (lutjanidae),0,0,1,1,001
family_label::surgeonfishes (acanthuridae),1,1,0,2,110
family_label::triggerfishes (balistidae),1,1,1,3,111
family_label::trumpetfishes (aulostomidae),0,0,1,1,001
family_label::tunas/mackerels (scombridae),1,1,0,2,110
family_label::turtle (cheloniidae),1,0,0,1,100
family_label::wrasses (labridae),1,1,1,3,111
family_label::wrasses interested,0,1,1,2,011
genus::canthigaster,0,0,1,1,001
genus::chromis,0,0,1,1,001
genus::dascyllus,0,0,1,1,001
genus::genus acanthurus,1,0,1,2,101
genus::genus caesio,0,1,1,2,011
genus::genus chromis,1,1,1,3,111
genus::genus ctenochaetus,0,1,0,1,010
genus::genus naso,1,1,0,2,110
genus::genus siganus,1,1,1,3,111
genus::genus soldier,1,1,0,2,110
genus::genus squirrel,1,1,0,2,110
genus::zebrasoma,0,0,1,1,001
label::stomatapoda,1,0,1,2,101
species::arabian monocle (scolopsis ghanam),1,1,1,3,111
species::axilspot hogfish (bodianus axillaris),1,1,0,2,110
species::barred (hemigymnus fasciatus),1,1,0,2,110
species::bicolor (labroides bicolor),1,1,1,3,111
species::bird wrasse (gomphosus caeruleus),1,1,1,3,111
species::black saddled toby (canthigaster valentini),1,1,1,3,111
species::black-backed (chaetodon melannotus),1,1,1,3,111
species::black-lipped (chaetodon kleinii),1,1,1,3,111
species::blackeye (hemigymnus melapterus),1,1,0,2,110
species::blackspot (lutjanus fulviflamma),0,0,1,1,001
species::blackspot feeding (lutjanus fulviflamma),0,0,1,1,001
species::blacktip (epinephelus fasciatus),0,1,0,1,010
species::blackwhite (macolor niger),0,0,1,1,001
species::blackwhite feeding (macolor niger),0,0,1,1,001
species::blue barred (scarus ghobban),0,0,1,1,001
species::blue-green (chromis viridis),1,1,0,2,110
species::blue-streak (labroides dimidiatus),1,1,1,3,111
species::bluefin (caranx melampygus),1,1,1,3,111
species::brassy trevally (caranx papuensis),0,1,1,2,011
species::brown pigmy (centropyge multispinis),1,1,1,3,111
species::brown tang (zebrasoma scopas),1,1,1,3,111
species::bullethead (chlorurus sordidus),1,1,1,3,111
species::checkerboard (halichoeres hortulanus),1,1,1,3,111
species::chevroned (chaetodon trifascialis),1,1,0,2,110
species::cigar (cheilio inermis),0,1,0,1,010
species::claudia (halichoeres claudia),0,1,0,1,010
species::clown (coris aygula),0,1,0,1,010
species::coral (cephalopholis miniata),0,0,1,1,001
species::disappearing (pseudocheilinus evanidus),1,1,1,3,111
species::eclipse (chaetodon bennetti),1,1,0,2,110
species::elegant unicorn (naso elegans),1,1,0,2,110
species::emperor (pomacanthus imperator),0,1,1,2,011
species::false-eye (abudefduf sparoides),0,1,1,2,011
species::five-saddle (scarus saber),0,1,0,1,010
species::freckled (paracirrhites forsteri),1,1,0,2,110
species::goldbar (thalassoma hebraicum),1,1,1,3,111
species::golden (ctenochaetus truncates),0,1,0,1,010
species::goldsaddle (parupeneus cyclostomus),0,0,1,1,001
species::green (amblyglyphidodon indicus),1,1,1,3,111
species::halfmoon (sufflamen chrysopterum),0,1,1,2,011
species::honeycomb (siganus stellatus),1,1,1,3,111
species::humpback (lutjanus gibbus),0,0,1,1,001
species::humpback unicorn (naso brachycentron),1,1,0,2,110
species::humphead (cheilinus undulatus),1,1,0,2,110
species::humpnose bigeye (monotaxis grandoculis),1,1,1,3,111
species::indian half-and-half (pycnochromis dimidiatus),1,1,0,2,110
species::indian half-and-half (pycnochromis dimidiatusf),0,1,0,1,010
species::indian longnose (hipposcarus harid),1,0,1,2,101
species::indian redfin (chaetodon trifasciatus),1,1,1,3,111
species::leopard (cephalopholis leopardus),1,1,0,2,110
species::lined (chaetodon lineolatus),1,1,0,2,110
species::lined bristletooth (ctenochaetus striatus),1,1,1,3,111
species::linedcheeked (oxycheilinus digramma),1,1,1,3,111
species::longbarbel (parupeneus macronemus),1,1,1,3,111
species::longfin banner (heniochus acuminatus),1,1,1,3,111
species::longnose (forcipiger flavissimus),1,1,0,2,110
species::longnose (lethrinus olivaceus),0,1,1,2,011
species::longnose (oxymonacanthus longirostris),1,1,0,2,110
species::lyretail hogfish (bodianus anthioides),1,0,0,1,100
species::mahsena (lethrinus mahsena),0,0,1,1,001
species::map (arothron mappa),0,0,1,1,001
species::masked banner (heniochus monoceros),1,0,0,1,100
species::meyer's (chaetodon meyeri),1,1,0,2,110
species::monk (acanthurus gahhm),1,1,1,3,111
species::moon (thalassoma lunare),1,1,1,3,111
species::moorish idol (zanclus cornutus),1,1,1,3,111
species::mozambique fangblenny (meiacanthus mossambicus),1,1,1,3,111
species::orange-lined (balistapus undulatus),1,1,0,2,110
species::orangespotted (lethrinus erythracanthus),1,1,0,2,110
species::palenose (scarus psittacus),0,1,0,1,010
species::paletail unicorn (naso brevirostris),1,1,1,3,111
species::peacock (cephalopholis argus),1,1,0,2,110
species::peacock damsel (pomacentrus pavo),0,0,1,1,001
species::piano fangblenny (plagiotremus tapeinosoma),0,1,0,1,010
species::potato (epinephelus tukula),1,1,0,2,110
species::powder blue (acanthurus leucosternon),0,1,0,1,010
species::pyramid (hemitaurichthys zoster),1,1,0,2,110
species::queen (coris formosa),0,0,1,1,001
species::queenfish (scomberoides lysan),0,1,0,1,010
species::raccoon (chaetodon lunula),1,1,1,3,111
species::red (lutjanus bohar),1,1,1,3,111
species::red-breasted (cheilinus fasciatus),1,1,1,3,111
species::redmouth (aethaloperca rogaa),1,1,1,3,111
species::regal (pygoplites diacanthus),1,1,0,2,110
species::rockmover (novaculichthys taeniourus),1,1,1,3,111
species::saddleback (chaetodon falcula),1,1,1,3,111
species::sailfin tang (zebrasoma desjardinii),1,1,1,3,111
species::scissortail sergeant (abudefduf sexfasciatus),1,0,1,2,101
species::scrawled (aluterus scriptus),1,1,1,3,111
species::sidespot (parupeneus pleurostigma),1,1,1,3,111
species::sixbar (thalassoma hardwicke),1,1,1,3,111
species::slingjaw (epibulus insidiator),1,1,0,2,110
species::snubnose (lethrinus borbonicus),1,1,1,3,111
species::speckled (parapercis hexophthalma),1,1,1,3,111
species::spot-tail (coris caudimacula),0,1,0,1,010
species::spotted (cetoscarus ocellatus),1,1,0,2,110
species::spotted (chaetodon guttatissimus),1,1,0,2,110
species::spotted (diodon hystrix),0,1,1,2,011
species::spotted toby (canthigaster solandri),1,0,1,2,101
species::stareye (calotomus carolinus),1,1,0,2,110
species::sulfur (pomacentrus sulfureus),0,1,0,1,010
species::swarthy (scarus niger),1,1,0,2,110
species::ternate (chromis ternatensis),1,1,0,2,110
species::threadfin (chaetodon auriga),1,1,1,3,111
species::threespot (apolemichthys trimaculatus),0,1,0,1,010
species::threespot dascyllus (dascyllus trimaculatus),0,0,1,1,001
species::thumbprint (lethrinus harak),0,0,1,1,001
species::titan (balistoides viridescens),1,0,1,2,101
species::trumpetfish (aulostomus chinensis),1,1,1,3,111
species::tubelip (labrichthys unilineatus),1,1,0,2,110
species::undulated (gymnothorax undulatus),1,1,0,2,110
species::weber's puller (chromis weberi),1,0,1,2,101
