filename,date,standort,koeder,species_richness,rows_total,rows_used,n_taxa_set
20240515-milimani-mackerel.csv,20240515,milimani,mackerel,53,375,375,53
20241025-milimani-mackerel.csv,20241025,milimani,mackerel,34,259,259,34
20241026-milimani-ulva_gutweed.csv,20241026,milimani,ulva_gutweed,39,128,126,39
20241027-milimani-ulva_salad.csv,20241027,milimani,ulva_salad,40,106,105,40
20241029-milimani-ulva_gutweed.csv,20241029,milimani,ulva_gutweed,49,149,149,49
20241030-milimani-ulva_gutweed.csv,20241030,milimani,ulva_gutweed,46,181,181,46
20241105-milimani-ulva_salad.csv,20241105,milimani,ulva_salad,31,100,100,31
20241110-milimani-ulva_salad.csv,20241110,milimani,ulva_salad,57,320,320,57
20241111-milimani-control.csv,20241111,milimani,control,46,334,334,46
20241112-milimani-ulva_salad.csv,20241112,milimani,ulva_salad,43,268,268,43
20241114-milimani-control.csv,20241114,milimani,control,36,180,180,36
20241115-milimani-control.csv,20241115,milimani,control,45,148,148,45
20241124-milimani-mackerel.csv,20241124,milimani,mackerel,57,287,261,57
20241127-milimani-sargassum.csv,20241127,milimani,sargassum,43,214,205,43
20241128-milimani-sargassum.csv,20241128,milimani,sargassum,46,391,380,46
20241129-milimani-sargassum.csv,20241129,milimani,sargassum,46,320,314,46
20241210-milimani-fischmix.csv,20241210,milimani,fischmix,45,409,379,45
20240106-nursery-mackerel.csv,20240106,nursery,mackerel,29,107,103,29
20240108-nursery-control.csv,20240108,nursery,control,29,69,69,29
20240223-nursery-mackerel.csv,20240223,nursery,mackerel,33,211,192,33
20241126-nursery-mackerel.csv,20241126,nursery,mackerel,41,361,356,41
20241204-nursery-algae_strings.csv,20241204,nursery,algae_strings,38,224,200,38
20241205-nursery-algae_strings.csv,20241205,nursery,algae_strings,34,204,190,34
20241206-nursery-algae_strings.csv,20241206,nursery,algae_strings,35,168,157,35
20241208-nursery-algaemix.csv,20241208,nursery,algaemix,43,420,340,43
20241209-nursery-algaemix.csv,20241209,nursery,algaemix,41,303,283,41
20241210-nursery-algaemix.csv,20241210,nursery,algaemix,33,201,170,33
20251212-nursery-mackerel.csv,20251212,nursery,mackerel,36,159,150,36
20240516-utumbi-mackerel.csv,20240516,utumbi,mackerel,61,529,518,61
20241025-utumbi-ulva_salad.csv,20241025,utumbi,ulva_salad,48,527,525,48
20241026-utumbi-mackerel.csv,20241026,utumbi,mackerel,49,395,366,49
20241027-utumbi-ulva_salad.csv,20241027,utumbi,ulva_salad,55,381,376,55
20241029-utumbi-ulva_gutweed.csv,20241029,utumbi,ulva_gutweed,50,367,365,50
20241030-utumbi-ulva_gutweed.csv,20241030,utumbi,ulva_gutweed,54,227,227,54
20241105-utumbi-control.csv,20241105,utumbi,control,44,398,396,44
20241110-utumbi-ulva_salad.csv,20241110,utumbi,ulva_salad,52,316,308,52
20241111-utumbi-control.csv,20241111,utumbi,control,50,219,219,50
20241112-utumbi-ulva_gutweed.csv,20241112,utumbi,ulva_gutweed,55,213,212,55
20241114-utumbi-control.csv,20241114,utumbi,control,43,135,135,43
20241115-utumbi-control.csv,20241115,utumbi,control,54,235,235,54
20241124-utumbi-mackerel.csv,20241124,utumbi,mackerel,50,343,294,50
20241127-utumbi-sargassum.csv,20241127,utumbi,sargassum,54,293,281,54
20241128-utumbi-sargassum.csv,20241128,utumbi,sargassum,61,235,233,61
20241129-utumbi-sargassum.csv,20241129,utumbi,sargassum,56,251,245,56
20241209-utumbi-fischmix.csv,20241209,utumbi,fischmix,60,373,317,60
20241210-utumbi-fischmix.csv,20241210,utumbi,fischmix,52,249,222,52
