taxon,family,is_herbivore,algae_n_videos,fish_n_videos,algae_median,fish_median,algae_mean,fish_mean,median_diff_algae_minus_fish,mean_diff_algae_minus_fish,p_value,cliffs_delta_algae_minus_fish,p_value_holm,p_value_bh
species::arabian monocle (scolopsis ghanam),,False,6,4,10.0,1.0,11.333333333333334,2.0,9.0,9.333333333333334,0.006672896291846292,1.0,0.18684109617169617,0.061233956032667416
species::sailfin tang (zebrasoma desjardinii),,False,6,4,2.5,0.5,2.5,0.5,2.0,2.0,0.005708610743955862,1.0,0.16554971157471998,0.061233956032667416
species::paletail unicorn (naso brevirostris),,False,6,4,22.0,1.5,23.333333333333332,3.25,20.5,20.083333333333332,0.006960956664071987,1.0,0.18794582992994366,0.061233956032667416
species::blue barred (scarus ghobban),,False,6,4,3.0,0.0,3.0,0.25,3.0,2.75,0.008446062901057575,0.9583333333333334,0.21959763542749694,0.061233956032667416
family_label::jacks/trevallyes (carangidae),jacks/trevallyes (carangidae),False,6,4,1.5,0.0,1.5,0.25,1.5,1.25,0.011948855339755052,0.875,0.2987213834938763,0.06740211204059572
species::yellow-margin (gymnothorax flavimarginatus),,False,6,4,1.0,0.0,1.1666666666666667,0.0,1.0,1.1666666666666667,0.013945264560123252,0.8333333333333334,0.33468634944295805,0.06740211204059572
genus::zebrasoma,,False,6,4,1.5,0.0,1.1666666666666667,0.0,1.5,1.1666666666666667,0.03363898026917451,0.6666666666666666,0.7736965461910137,0.10386826146030677
genus::genus siganus,,False,6,4,1.5,0.0,2.1666666666666665,0.0,1.5,2.1666666666666665,0.0358166418828644,0.6666666666666666,0.7759688421375524,0.10386826146030677
species::yellowstripe (mulloidichthys flavolineatus),,False,6,4,3.5,0.0,3.0,0.0,3.5,3.0,0.0358166418828644,0.6666666666666666,0.7759688421375524,0.10386826146030677
species::weber's puller (chromis weberi),,False,6,4,1.0,0.0,1.3333333333333333,0.0,1.0,1.3333333333333333,0.03527131100625238,0.6666666666666666,0.7759688421375524,0.10386826146030677
family_label::fusiliers (caesionidae),fusiliers (caesionidae),False,6,4,7.0,1.0,6.333333333333333,2.25,6.0,4.083333333333333,0.05220950280220917,0.6666666666666666,0.9401214631843545,0.12617296510533885
species::red-breasted (cheilinus fasciatus),,False,6,4,1.0,0.0,1.0,0.25,1.0,0.75,0.04948007700970287,0.625,0.9401214631843545,0.12617296510533885
species::humpback (lutjanus gibbus),,False,6,4,20.5,12.0,27.0,14.75,8.5,12.25,0.08226090874474223,0.5833333333333334,1.0,0.1403274325645603
species::trumpetfish (aulostomus chinensis),,False,6,4,0.5,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.07361612768183275,0.5,1.0,0.13342923142332186
species::bullethead (chlorurus sordidus),,False,6,4,0.5,0.0,1.0,0.0,0.5,1.0,0.07361612768183275,0.5,1.0,0.13342923142332186
species::halfmoon (sufflamen chrysopterum),,False,6,4,0.5,0.0,0.5,0.0,0.5,0.5,0.07078943167762192,0.5,1.0,0.13342923142332186
species::map (arothron mappa),,False,6,4,0.5,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.07361612768183275,0.5,1.0,0.13342923142332186
species::black-backed (chaetodon melannotus),,False,6,4,3.0,1.5,4.333333333333333,1.5,1.5,2.833333333333333,0.1395081566056819,0.4583333333333333,1.0,0.20228682707823875
species::raccoon (chaetodon lunula),,False,6,4,1.0,0.0,0.6666666666666666,0.25,1.0,0.41666666666666663,0.13517207032739004,0.4166666666666667,1.0,0.20228682707823875
species::brown tang (zebrasoma scopas),,False,6,4,1.0,0.0,0.6666666666666666,0.25,1.0,0.41666666666666663,0.13517207032739004,0.4166666666666667,1.0,0.20228682707823875
species::honeycomb (siganus stellatus),,False,6,4,4.0,1.0,3.3333333333333335,1.75,3.0,1.5833333333333335,0.16033629297753726,0.4166666666666667,1.0,0.21644681943914543
species::moorish idol (zanclus cornutus),,False,6,4,2.0,0.5,2.8333333333333335,2.25,1.5,0.5833333333333335,0.1642010354365931,0.4166666666666667,1.0,0.21644681943914543
species::longbarbel (parupeneus macronemus),,False,6,4,4.5,2.5,4.166666666666667,3.0,2.0,1.166666666666667,0.19397756141307282,0.375,1.0,0.23438955337412967
species::false-eye (abudefduf sparoides),,False,6,4,1.0,0.5,0.8333333333333334,0.5,0.5,0.33333333333333337,0.17478740306164908,0.3333333333333333,1.0,0.2203841169038184
species::queen (coris formosa),,False,6,4,0.5,0.0,0.5,0.25,0.5,0.25,0.26598552904870054,0.25,1.0,0.2966761670158583
species::scrawled (aluterus scriptus),,False,6,4,0.5,0.0,0.5,0.25,0.5,0.25,0.26598552904870054,0.25,1.0,0.2966761670158583
species::scissortail sergeant (abudefduf sexfasciatus),,False,6,4,1.5,1.0,2.0,1.25,0.5,0.75,0.2929865230691269,0.25,1.0,0.31468922848165487
family_label::cornetfishes (fistulariidae),cornetfishes (fistulariidae),False,6,4,1.0,0.5,1.3333333333333333,1.75,0.5,-0.41666666666666674,0.4556366653027762,0.08333333333333333,1.0,0.4719094033493039
species::threadfin (chaetodon auriga),,False,6,4,2.0,1.5,2.1666666666666665,2.0,0.5,0.16666666666666652,0.5,0.041666666666666664,1.0,0.5
