taxon,family,is_herbivore,algae_n_videos,fish_n_videos,algae_median,fish_median,algae_mean,fish_mean,median_diff_algae_minus_fish,mean_diff_algae_minus_fish,p_value,cliffs_delta_algae_minus_fish,p_value_holm,p_value_bh
species::bullethead (chlorurus sordidus),,False,9,5,3.0,1.0,3.888888888888889,1.0,2.0,2.888888888888889,0.003272544619581874,0.8888888888888888,0.04581562467414624,0.04581562467414624
species::checkerboard (halichoeres hortulanus),,False,9,5,1.0,0.0,1.0,0.2,1.0,0.8,0.009311229171223227,0.7111111111111111,0.12104597922590196,0.06517860419856258
species::moorish idol (zanclus cornutus),,False,9,5,2.0,1.0,2.111111111111111,1.0,1.0,1.1111111111111112,0.025695842443502936,0.5777777777777777,0.3083501093220352,0.09534872917123496
species::yellowbreast (anampses twistii),,False,9,5,1.0,0.0,0.5555555555555556,0.0,1.0,0.5555555555555556,0.027242494048924277,0.5555555555555556,0.3083501093220352,0.09534872917123496
species::swarthy (scarus niger),,False,9,5,1.0,0.0,0.8888888888888888,0.4,1.0,0.4888888888888888,0.037158498665175746,0.4888888888888889,0.37158498665175743,0.10404379626249209
species::slingjaw (epibulus insidiator),,False,9,5,1.0,0.0,0.6666666666666666,0.2,1.0,0.4666666666666666,0.062309896107284976,0.4666666666666667,0.5607890649655648,0.14538975758366493
species::longbarbel (parupeneus macronemus),,False,9,5,2.0,1.0,2.6666666666666665,1.4,1.0,1.2666666666666666,0.09717578855233239,0.4222222222222222,0.7774063084186591,0.17729166330247506
species::brown pigmy (centropyge multispinis),,False,9,5,2.0,1.0,1.7777777777777777,1.2,1.0,0.5777777777777777,0.1013095218871286,0.4,0.7774063084186591,0.17729166330247506
species::whitetail (acanthurus thompsoni),,False,9,5,1.0,0.0,1.4444444444444444,1.2,1.0,0.24444444444444446,0.13028340553574996,0.37777777777777777,0.7817004332144998,0.20266307527783325
family_label::parrotfishes (scaridae),parrotfishes (scaridae),False,9,5,11.0,7.0,18.11111111111111,8.8,4.0,9.31111111111111,0.2731465433869414,0.2222222222222222,1.0,0.38240516074171793
genus::genus squirrel,,False,9,5,5.0,4.0,4.222222222222222,3.8,1.0,0.4222222222222225,0.3159947772873477,0.17777777777777778,1.0,0.39175822003923294
species::spotted (chaetodon guttatissimus),,False,9,5,1.0,0.0,1.0,0.8,1.0,0.19999999999999996,0.33579276003362823,0.15555555555555556,1.0,0.39175822003923294
species::lined bristletooth (ctenochaetus striatus),,False,9,5,2.0,1.0,1.4444444444444444,1.6,1.0,-0.15555555555555567,0.6084459865306835,-0.06666666666666667,1.0,0.6552495239561207
genus::genus chromis,,False,9,5,34.0,21.0,28.444444444444443,43.2,13.0,-14.75555555555556,0.8572038265927554,-0.3333333333333333,1.0,0.8572038265927554
