standort,koeder,n_taxa_dominant_mean_maxn,n_dominant_taxa_raw_sig,n_dominant_taxa_holm_sig,n_dominant_taxa_ratio_ge_3,mean_dominant_mean_maxn,n_koederspezifische_taxa_presence,avg_jaccard_distance_to_other_baits
milimani,control,15,0,0,15,5.066666666666667,1.0,0.3740368355508946
milimani,fischmix,32,3,0,27,3.25,1.0,0.4949970612013269
milimani,mackerel,23,3,0,21,4.695652173913042,8.0,0.4084452978081196
milimani,sargassum,17,0,0,15,9.0,5.0,0.4008815272918997
milimani,ulva_gutweed,10,0,0,8,1.3333333333333333,2.0,0.3963437847997138
milimani,ulva_salad,7,0,0,7,1.2857142857142858,2.0,0.3767532269469131
nursery,algae_strings,26,3,0,24,1.9743589743589747,,
nursery,algaemix,28,2,0,26,4.226190476190476,,
nursery,control,14,6,0,14,2.4285714285714284,,
nursery,mackerel,31,0,0,31,1.8387096774193548,,
utumbi,control,12,0,0,11,1.6458333333333333,2.0,0.3312178612779082
utumbi,fischmix,29,5,0,26,2.1551724137931036,3.0,0.4039518838276198
utumbi,mackerel,36,0,0,31,6.611111111111111,9.0,0.39511020666734636
utumbi,sargassum,16,1,0,14,1.5208333333333333,2.0,0.3359982417043329
utumbi,ulva_gutweed,11,1,0,9,1.424242424242424,3.0,0.35965886946780645
utumbi,ulva_salad,16,1,0,15,9.6875,4.0,0.35388486852235657
