group_a,group_b,n_a,n_b,n_videos,pseudo_f,p_value,n_perm,note,p_value_holm,significant_0_05,significant_0_05_holm,sig_label_raw,sig_label_holm
sargassum,ulva_salad,3,4,7,1.4965571589270223,0.057588482303539294,5000,,0.8638272345530894,False,False,ns,ns
mackerel,ulva_salad,3,4,7,1.375731803881539,0.08558288342331534,5000,,1.0,False,False,ns,ns
sargassum,ulva_gutweed,3,3,6,1.52671551352979,0.09678064387122576,5000,,1.0,False,False,ns,ns
control,ulva_gutweed,3,3,6,1.5578932840873696,0.10997800439912017,5000,,1.0,False,False,ns,ns
mackerel,ulva_gutweed,3,3,6,1.3245323256211075,0.1931613677264547,5000,,1.0,False,False,ns,ns
fischmix,ulva_salad,1,4,5,1.286801103966775,0.1967606478704259,5000,,1.0,False,False,ns,ns
fischmix,ulva_gutweed,1,3,4,1.580277770602302,0.2485502899420116,5000,,1.0,False,False,ns,ns
fischmix,sargassum,1,3,4,2.0745194660068265,0.24875024995001,5000,,1.0,False,False,ns,ns
control,fischmix,3,1,4,1.443879659106788,0.2571485702859428,5000,,1.0,False,False,ns,ns
mackerel,sargassum,3,3,6,1.2639971409307733,0.29774045190961806,5000,,1.0,False,False,ns,ns
control,mackerel,3,3,6,1.2695946325345826,0.30353929214157166,5000,,1.0,False,False,ns,ns
ulva_gutweed,ulva_salad,3,4,7,1.101265187895249,0.34833033393321333,5000,,1.0,False,False,ns,ns
control,ulva_salad,3,4,7,1.0492009039925376,0.3645270945810838,5000,,1.0,False,False,ns,ns
control,sargassum,3,3,6,1.2250303584419153,0.40671865626874626,5000,,1.0,False,False,ns,ns
fischmix,mackerel,1,3,4,0.7364502127735845,0.7510497900419916,5000,,1.0,False,False,ns,ns
