koeder,taxon_key
control,species::scrawled (aluterus scriptus)
fischmix,species::blue-green (chromis viridis)
mackerel,family_label::cornetfishes (fistulariidae)
mackerel,family_label::filefishes (monacanthidae)
mackerel,species::arabian monocle (scolopsis ghanam)
mackerel,species::monk (acanthurus gahhm)
mackerel,species::potato (epinephelus tukula)
mackerel,species::sailfin tang (zebrasoma desjardinii)
mackerel,species::undulated (gymnothorax undulatus)
mackerel,species::weber's puller (chromis weberi)
sargassum,family_label::goatfishes (mullidae)
sargassum,family_label::turtle (cheloniidae)
sargassum,species::elegant unicorn (naso elegans)
sargassum,species::spotted (cetoscarus ocellatus)
sargassum,species::stareye (calotomus carolinus)
ulva_gutweed,genus::genus squirrel
ulva_gutweed,species::bicolor (labroides bicolor)
ulva_salad,family_label::surgeonfishes (acanthuridae)
ulva_salad,species::rockmover (novaculichthys taeniourus)
