bait_a,bait_b,n_taxa_a,n_taxa_b,intersection_taxa,union_taxa,jaccard_similarity,jaccard_distance,unique_a,unique_b
control,ulva_gutweed,63,66,53,76,0.6973684210526315,0.3026315789473685,10,13
control,ulva_salad,63,71,54,80,0.675,0.32499999999999996,9,17
control,sargassum,63,64,51,76,0.6710526315789473,0.32894736842105265,12,13
mackerel,ulva_salad,76,71,59,88,0.6704545454545454,0.3295454545454546,17,12
ulva_gutweed,ulva_salad,66,71,54,83,0.6506024096385542,0.3493975903614458,12,17
sargassum,ulva_salad,64,71,52,83,0.6265060240963856,0.37349397590361444,12,19
sargassum,ulva_gutweed,64,66,50,80,0.625,0.375,14,16
control,mackerel,63,76,51,88,0.5795454545454546,0.4204545454545454,12,25
mackerel,ulva_gutweed,76,66,52,90,0.5777777777777777,0.4222222222222223,24,14
mackerel,sargassum,76,64,51,89,0.5730337078651685,0.4269662921348315,25,13
fischmix,mackerel,47,76,44,79,0.5569620253164557,0.44303797468354433,3,32
control,fischmix,63,47,37,73,0.5068493150684932,0.4931506849315068,26,10
fischmix,sargassum,47,64,37,74,0.5,0.5,10,27
fischmix,ulva_salad,47,71,39,79,0.4936708860759494,0.5063291139240507,8,32
fischmix,ulva_gutweed,47,66,36,77,0.4675324675324675,0.5324675324675325,11,30
