control,fischmix,mackerel,sargassum,ulva_gutweed,ulva_salad
family_label::butterflyfishes (chaetodontidae),family_label::groupers (serranidae),family_label::cornetfishes (fistulariidae),family_label::goatfishes (mullidae),family_label::butterflyfishes (chaetodontidae),family_label::groupers (serranidae)
family_label::emperors (lethrinidae),family_label::groupers feeding,family_label::emperors (lethrinidae),family_label::groupers (serranidae),family_label::groupers (serranidae),family_label::jacks/trevallyes (carangidae)
family_label::groupers (serranidae),family_label::groupers interested,family_label::filefishes (monacanthidae),family_label::groupers interested,family_label::jacks/trevallyes (carangidae),family_label::parrotfishes (scaridae)
family_label::jacks/trevallyes (carangidae),family_label::parrotfishes (scaridae),family_label::groupers (serranidae),family_label::parrotfishes (scaridae),family_label::parrotfishes (scaridae),family_label::puffers (tetraodontidae)
family_label::parrotfishes (scaridae),family_label::wrasses (labridae),family_label::groupers feeding,family_label::puffers (tetraodontidae),family_label::puffers (tetraodontidae),family_label::surgeonfishes (acanthuridae)
family_label::tunas/mackerels (scombridae),genus::genus chromis,family_label::groupers interested,family_label::turtle (cheloniidae),family_label::tunas/mackerels (scombridae),family_label::triggerfishes (balistidae)
family_label::wrasses (labridae),species::axilspot hogfish (bodianus axillaris),family_label::jacks/trevallyes (carangidae),family_label::wrasses (labridae),family_label::wrasses (labridae),family_label::tunas/mackerels (scombridae)
genus::genus acanthurus,species::barred (hemigymnus fasciatus),family_label::parrotfishes (scaridae),genus::genus chromis,genus::genus acanthurus,family_label::wrasses (labridae)
genus::genus chromis,species::bird wrasse (gomphosus caeruleus),family_label::puffers (tetraodontidae),genus::genus siganus,genus::genus chromis,genus::genus chromis
genus::genus naso,species::blue-green (chromis viridis),family_label::triggerfishes (balistidae),genus::genus soldier,genus::genus naso,genus::genus naso
genus::genus soldier,species::blue-streak (labroides dimidiatus),family_label::wrasses (labridae),species::axilspot hogfish (bodianus axillaris),genus::genus soldier,genus::genus siganus
species::axilspot hogfish (bodianus axillaris),species::bluefin (caranx melampygus),genus::genus chromis,species::barred (hemigymnus fasciatus),genus::genus squirrel,species::axilspot hogfish (bodianus axillaris)
species::barred (hemigymnus fasciatus),species::brown pigmy (centropyge multispinis),label::stomatapoda,species::bird wrasse (gomphosus caeruleus),label::stomatapoda,species::barred (hemigymnus fasciatus)
species::bird wrasse (gomphosus caeruleus),species::brown tang (zebrasoma scopas),species::arabian monocle (scolopsis ghanam),species::black saddled toby (canthigaster valentini),species::axilspot hogfish (bodianus axillaris),species::bird wrasse (gomphosus caeruleus)
species::black saddled toby (canthigaster valentini),species::bullethead (chlorurus sordidus),species::axilspot hogfish (bodianus axillaris),species::blackeye (hemigymnus melapterus),species::barred (hemigymnus fasciatus),species::black saddled toby (canthigaster valentini)
species::black-backed (chaetodon melannotus),species::eclipse (chaetodon bennetti),species::barred (hemigymnus fasciatus),species::brown pigmy (centropyge multispinis),species::bicolor (labroides bicolor),species::black-backed (chaetodon melannotus)
species::blackeye (hemigymnus melapterus),species::freckled (paracirrhites forsteri),species::bird wrasse (gomphosus caeruleus),species::brown tang (zebrasoma scopas),species::bird wrasse (gomphosus caeruleus),species::black-lipped (chaetodon kleinii)
species::bluefin (caranx melampygus),species::goldbar (thalassoma hebraicum),species::black-backed (chaetodon melannotus),species::bullethead (chlorurus sordidus),species::black-backed (chaetodon melannotus),species::blackeye (hemigymnus melapterus)
species::brown pigmy (centropyge multispinis),species::green (amblyglyphidodon indicus),species::black-lipped (chaetodon kleinii),species::checkerboard (halichoeres hortulanus),species::blackeye (hemigymnus melapterus),species::bluefin (caranx melampygus)
