taxon_key,control,fischmix,mackerel,sargassum,ulva_gutweed,ulva_salad,n_baits_present,presence_pattern
family_label::butterflyfishes (chaetodontidae),1,0,0,0,1,0,2,100010
family_label::cornetfishes (fistulariidae),0,0,1,0,0,0,1,001000
family_label::emperors (lethrinidae),1,0,1,0,0,0,2,101000
family_label::filefishes (monacanthidae),0,0,1,0,0,0,1,001000
family_label::goatfishes (mullidae),0,0,0,1,0,0,1,000100
family_label::groupers (serranidae),1,1,1,1,1,1,6,111111
family_label::groupers feeding,0,1,1,0,0,0,2,011000
family_label::groupers interested,0,1,1,1,0,0,3,011100
family_label::jacks/trevallyes (carangidae),1,0,1,0,1,1,4,101011
family_label::parrotfishes (scaridae),1,1,1,1,1,1,6,111111
family_label::puffers (tetraodontidae),0,0,1,1,1,1,4,001111
family_label::surgeonfishes (acanthuridae),0,0,0,0,0,1,1,000001
family_label::triggerfishes (balistidae),0,0,1,0,0,1,2,001001
family_label::tunas/mackerels (scombridae),1,0,0,0,1,1,3,100011
family_label::turtle (cheloniidae),0,0,0,1,0,0,1,000100
family_label::wrasses (labridae),1,1,1,1,1,1,6,111111
genus::genus acanthurus,1,0,0,0,1,0,2,100010
genus::genus chromis,1,1,1,1,1,1,6,111111
genus::genus naso,1,0,0,0,1,1,3,100011
genus::genus siganus,0,0,0,1,0,1,2,000101
genus::genus soldier,1,0,0,1,1,0,3,100110
genus::genus squirrel,0,0,0,0,1,0,1,000010
label::stomatapoda,0,0,1,0,1,0,2,001010
species::arabian monocle (scolopsis ghanam),0,0,1,0,0,0,1,001000
species::axilspot hogfish (bodianus axillaris),1,1,1,1,1,1,6,111111
species::barred (hemigymnus fasciatus),1,1,1,1,1,1,6,111111
species::bicolor (labroides bicolor),0,0,0,0,1,0,1,000010
species::bird wrasse (gomphosus caeruleus),1,1,1,1,1,1,6,111111
species::black saddled toby (canthigaster valentini),1,0,0,1,0,1,3,100101
species::black-backed (chaetodon melannotus),1,0,1,0,1,1,4,101011
species::black-lipped (chaetodon kleinii),0,0,1,0,0,1,2,001001
species::blackeye (hemigymnus melapterus),1,0,1,1,1,1,5,101111
species::blue-green (chromis viridis),0,1,0,0,0,0,1,010000
species::blue-streak (labroides dimidiatus),0,1,1,0,0,0,2,011000
species::bluefin (caranx melampygus),1,1,1,0,0,1,4,111001
species::brown pigmy (centropyge multispinis),1,1,1,1,1,1,6,111111
species::brown tang (zebrasoma scopas),1,1,1,1,1,1,6,111111
species::bullethead (chlorurus sordidus),1,1,1,1,1,1,6,111111
species::checkerboard (halichoeres hortulanus),1,0,1,1,1,1,5,101111
species::chevroned (chaetodon trifascialis),1,0,1,1,1,1,5,101111
species::disappearing (pseudocheilinus evanidus),1,0,1,1,1,1,5,101111
species::eclipse (chaetodon bennetti),1,1,1,0,1,1,5,111011
species::elegant unicorn (naso elegans),0,0,0,1,0,0,1,000100
species::freckled (paracirrhites forsteri),1,1,1,1,1,1,6,111111
species::goldbar (thalassoma hebraicum),1,1,1,1,1,1,6,111111
species::green (amblyglyphidodon indicus),1,1,1,1,1,1,6,111111
species::honeycomb (siganus stellatus),1,1,1,1,1,1,6,111111
species::humpback unicorn (naso brachycentron),1,1,1,1,1,0,5,111110
species::humphead (cheilinus undulatus),0,1,0,0,1,0,2,010010
species::humpnose bigeye (monotaxis grandoculis),1,1,1,1,1,1,6,111111
species::indian half-and-half (pycnochromis dimidiatus),1,1,1,1,1,1,6,111111
species::indian longnose (hipposcarus harid),0,0,1,0,0,1,2,001001
species::indian redfin (chaetodon trifasciatus),1,1,1,1,1,1,6,111111
species::leopard (cephalopholis leopardus),0,1,1,0,1,1,4,011011
