taxon_key
family_label::groupers (serranidae)
family_label::parrotfishes (scaridae)
family_label::wrasses (labridae)
genus::genus chromis
species::axilspot hogfish (bodianus axillaris)
species::barred (hemigymnus fasciatus)
species::bird wrasse (gomphosus caeruleus)
species::brown pigmy (centropyge multispinis)
species::brown tang (zebrasoma scopas)
species::bullethead (chlorurus sordidus)
species::freckled (paracirrhites forsteri)
species::goldbar (thalassoma hebraicum)
species::green (amblyglyphidodon indicus)
species::honeycomb (siganus stellatus)
species::humpnose bigeye (monotaxis grandoculis)
species::indian half-and-half (pycnochromis dimidiatus)
species::indian redfin (chaetodon trifasciatus)
species::lined bristletooth (ctenochaetus striatus)
species::longbarbel (parupeneus macronemus)
species::moon (thalassoma lunare)
species::orange-lined (balistapus undulatus)
species::peacock (cephalopholis argus)
species::raccoon (chaetodon lunula)
species::red (lutjanus bohar)
species::redmouth (aethaloperca rogaa)
species::regal (pygoplites diacanthus)
species::sixbar (thalassoma hardwicke)
species::spotted (chaetodon guttatissimus)
species::threadfin (chaetodon auriga)
species::titan (balistoides viridescens)
species::yellowhead (chaetodon xanthocephalus)
