taxon_key,algae_strings,algaemix,control,mackerel,n_baits_present,presence_pattern
family_label::batfishes (ephippidae),0,0,1,0,1,0010
family_label::blennies (blenniidae),0,0,1,1,2,0011
family_label::cornetfishes (fistulariidae),1,1,0,1,3,1101
family_label::emperors (lethrinidae),0,1,0,0,1,0100
family_label::fusiliers (caesionidae),1,1,1,1,4,1111
family_label::goatfishes (mullidae),0,0,0,1,1,0001
family_label::groupers (serranidae),0,1,0,1,2,0101
family_label::groupers feeding,0,0,0,1,1,0001
family_label::jacks/trevallyes (carangidae),1,1,1,1,4,1111
family_label::parrotfishes (scaridae),1,1,1,1,4,1111
family_label::parrotfishes feeding,1,1,0,0,2,1100
family_label::puffers (tetraodontidae),0,0,1,0,1,0010
family_label::siganus feeding,1,0,0,0,1,1000
family_label::snappers (lutjanidae),0,0,1,0,1,0010
family_label::triggerfishes (balistidae),0,1,0,0,1,0100
family_label::trumpetfishes (aulostomidae),0,0,0,1,1,0001
family_label::wrasses (labridae),1,1,0,0,2,1100
family_label::wrasses interested,1,0,0,0,1,1000
genus::canthigaster,0,0,0,1,1,0001
genus::chromis,0,0,1,1,2,0011
genus::dascyllus,0,0,0,1,1,0001
genus::genus acanthurus,0,1,0,0,1,0100
genus::genus caesio,0,1,0,0,1,0100
genus::genus chromis,1,1,0,1,3,1101
genus::genus siganus,1,1,0,0,2,1100
genus::zebrasoma,1,1,0,0,2,1100
label::stomatapoda,0,0,1,0,1,0010
species::arabian monocle (scolopsis ghanam),1,1,1,1,4,1111
species::bicolor (labroides bicolor),0,1,0,0,1,0100
species::bird wrasse (gomphosus caeruleus),0,1,0,0,1,0100
species::black saddled toby (canthigaster valentini),0,1,0,1,2,0101
species::black-backed (chaetodon melannotus),1,1,0,1,3,1101
species::black-lipped (chaetodon kleinii),0,0,0,1,1,0001
species::blackspot (lutjanus fulviflamma),1,1,0,1,3,1101
species::blackspot feeding (lutjanus fulviflamma),0,0,0,1,1,0001
species::blackwhite (macolor niger),1,1,1,1,4,1111
species::blackwhite feeding (macolor niger),0,0,0,1,1,0001
species::blue barred (scarus ghobban),1,1,0,1,3,1101
species::blue-streak (labroides dimidiatus),0,0,0,1,1,0001
species::bluefin (caranx melampygus),0,1,0,1,2,0101
species::brassy trevally (caranx papuensis),0,0,1,1,2,0011
species::brown pigmy (centropyge multispinis),1,0,0,0,1,1000
species::brown tang (zebrasoma scopas),1,1,0,1,3,1101
species::bullethead (chlorurus sordidus),1,0,1,0,2,1010
species::checkerboard (halichoeres hortulanus),1,0,0,0,1,1000
species::coral (cephalopholis miniata),0,0,0,1,1,0001
species::disappearing (pseudocheilinus evanidus),0,0,1,1,2,0011
species::emperor (pomacanthus imperator),1,1,0,1,3,1101
species::false-eye (abudefduf sparoides),1,1,0,1,3,1101
species::goldbar (thalassoma hebraicum),0,1,0,0,1,0100
species::goldsaddle (parupeneus cyclostomus),1,0,0,0,1,1000
species::green (amblyglyphidodon indicus),0,0,0,1,1,0001
species::halfmoon (sufflamen chrysopterum),1,1,0,0,2,1100
species::honeycomb (siganus stellatus),1,1,0,1,3,1101
species::humpback (lutjanus gibbus),1,1,1,1,4,1111
species::humpnose bigeye (monotaxis grandoculis),0,0,1,1,2,0011
species::indian longnose (hipposcarus harid),0,1,0,0,1,0100
species::indian redfin (chaetodon trifasciatus),1,1,0,1,3,1101
species::lined bristletooth (ctenochaetus striatus),1,1,1,1,4,1111
species::linedcheeked (oxycheilinus digramma),1,0,0,1,2,1001
species::longbarbel (parupeneus macronemus),1,1,1,1,4,1111
species::longfin banner (heniochus acuminatus),0,0,0,1,1,0001
species::longnose (lethrinus olivaceus),1,1,0,1,3,1101
species::mahsena (lethrinus mahsena),0,1,0,1,2,0101
species::map (arothron mappa),1,1,0,0,2,1100
species::monk (acanthurus gahhm),1,1,1,1,4,1111
species::moon (thalassoma lunare),1,1,1,1,4,1111
species::moorish idol (zanclus cornutus),1,1,0,1,3,1101
species::mozambique fangblenny (meiacanthus mossambicus),0,0,0,1,1,0001
species::paletail unicorn (naso brevirostris),1,1,0,1,3,1101
species::peacock damsel (pomacentrus pavo),0,0,1,1,2,0011
species::queen (coris formosa),1,1,0,1,3,1101
species::raccoon (chaetodon lunula),1,1,0,1,3,1101
species::red (lutjanus bohar),0,0,1,1,2,0011
species::red-breasted (cheilinus fasciatus),1,1,1,1,4,1111
species::redmouth (aethaloperca rogaa),0,1,0,1,2,0101
species::rockmover (novaculichthys taeniourus),1,0,0,0,1,1000
species::saddleback (chaetodon falcula),0,0,0,1,1,0001
species::sailfin tang (zebrasoma desjardinii),1,1,1,1,4,1111
species::scissortail sergeant (abudefduf sexfasciatus),1,1,0,1,3,1101
species::scrawled (aluterus scriptus),1,1,0,1,3,1101
species::sidespot (parupeneus pleurostigma),0,0,0,1,1,0001
species::sixbar (thalassoma hardwicke),0,0,0,1,1,0001
species::snubnose (lethrinus borbonicus),0,0,0,1,1,0001
species::speckled (parapercis hexophthalma),1,1,1,1,4,1111
species::spotted (diodon hystrix),1,1,0,1,3,1101
species::spotted toby (canthigaster solandri),0,0,0,1,1,0001
species::threadfin (chaetodon auriga),1,1,1,1,4,1111
species::threespot dascyllus (dascyllus trimaculatus),1,1,1,1,4,1111
species::thumbprint (lethrinus harak),1,0,0,1,2,1001
species::titan (balistoides viridescens),1,1,1,1,4,1111
species::trumpetfish (aulostomus chinensis),1,1,0,0,2,1100
species::weber's puller (chromis weberi),1,1,0,0,2,1100
species::whitetail (acanthurus thompsoni),0,0,0,1,1,0001
species::wirenet (cantherhines pardalis),0,0,1,0,1,0010
species::yellow-margin (gymnothorax flavimarginatus),1,1,0,0,2,1100
species::yellowhead (chaetodon xanthocephalus),1,1,0,1,3,1101
species::yellowmargin (pseudobalistes flavimarginatus),0,1,0,0,1,0100
species::yellowstripe (mulloidichthys flavolineatus),1,1,0,0,2,1100
