taxon_key
family_label::fusiliers (caesionidae)
family_label::jacks/trevallyes (carangidae)
family_label::parrotfishes (scaridae)
species::arabian monocle (scolopsis ghanam)
species::blackwhite (macolor niger)
species::humpback (lutjanus gibbus)
species::lined bristletooth (ctenochaetus striatus)
species::longbarbel (parupeneus macronemus)
species::monk (acanthurus gahhm)
species::moon (thalassoma lunare)
species::red-breasted (cheilinus fasciatus)
species::sailfin tang (zebrasoma desjardinii)
species::speckled (parapercis hexophthalma)
species::threadfin (chaetodon auriga)
species::threespot dascyllus (dascyllus trimaculatus)
species::titan (balistoides viridescens)
