bait_a,bait_b,n_taxa_a,n_taxa_b,intersection_taxa,union_taxa,jaccard_similarity,jaccard_distance,unique_a,unique_b
control,sargassum,77,80,68,89,0.7640449438202247,0.2359550561797753,9,12
control,ulva_salad,77,77,65,89,0.7303370786516854,0.2696629213483146,12,12
control,ulva_gutweed,77,74,62,89,0.6966292134831461,0.3033707865168539,15,12
ulva_gutweed,ulva_salad,74,77,61,90,0.6777777777777778,0.3222222222222222,13,16
sargassum,ulva_gutweed,80,74,61,93,0.6559139784946236,0.34408602150537637,19,13
sargassum,ulva_salad,80,77,62,95,0.6526315789473685,0.34736842105263155,18,15
fischmix,mackerel,71,84,60,95,0.631578947368421,0.368421052631579,11,24
mackerel,sargassum,84,80,63,101,0.6237623762376238,0.37623762376237624,21,17
fischmix,sargassum,71,80,58,93,0.6236559139784946,0.3763440860215054,13,22
mackerel,ulva_gutweed,84,74,60,98,0.6122448979591837,0.3877551020408163,24,14
fischmix,ulva_salad,71,77,55,93,0.5913978494623656,0.4086021505376344,16,22
mackerel,ulva_salad,84,77,59,102,0.5784313725490197,0.42156862745098034,25,18
control,mackerel,77,84,59,102,0.5784313725490197,0.42156862745098034,18,25
control,fischmix,77,71,54,94,0.574468085106383,0.42553191489361697,23,17
fischmix,ulva_gutweed,71,74,52,93,0.5591397849462365,0.4408602150537635,19,22
