control,fischmix,mackerel,sargassum,ulva_gutweed,ulva_salad
family_label::fusiliers (caesionidae),family_label::emperors (lethrinidae),family_label::blennies (blenniidae),family_label::emperors (lethrinidae),family_label::groupers (serranidae),family_label::blennies (blenniidae)
family_label::groupers (serranidae),family_label::fusiliers (caesionidae),family_label::emperors (lethrinidae),family_label::fusiliers (caesionidae),family_label::parrotfishes (scaridae),family_label::fusiliers (caesionidae)
family_label::parrotfishes (scaridae),family_label::groupers (serranidae),family_label::fusiliers (caesionidae),family_label::groupers (serranidae),family_label::scorpion-&lionfishes (scorpaenidae),family_label::groupers (serranidae)
family_label::surgeonfishes (acanthuridae),family_label::groupers feeding,family_label::groupers (serranidae),family_label::parrotfishes (scaridae),family_label::tunas/mackerels (scombridae),family_label::jacks/trevallyes (carangidae)
family_label::wrasses (labridae),family_label::groupers interested,family_label::groupers feeding,family_label::tunas/mackerels (scombridae),family_label::wrasses (labridae),family_label::naso feeding
genus::genus caesio,family_label::morays (muraenidae),family_label::groupers interested,family_label::wrasses (labridae),genus::genus chromis,family_label::parrotfishes (scaridae)
genus::genus chromis,family_label::parrotfishes (scaridae),family_label::morays (muraenidae),genus::genus caesio,genus::genus ctenochaetus,family_label::surgeonfishes (acanthuridae)
genus::genus naso,family_label::triggerfishes (balistidae),family_label::parrotfishes (scaridae),genus::genus chromis,genus::genus naso,family_label::wrasses (labridae)
genus::genus soldier,family_label::wrasses (labridae),family_label::tunas/mackerels (scombridae),genus::genus naso,genus::genus soldier,genus::genus caesio
genus::genus squirrel,genus::genus chromis,family_label::wrasses (labridae),genus::genus soldier,genus::genus squirrel,genus::genus chromis
species::arabian monocle (scolopsis ghanam),genus::genus naso,family_label::wrasses interested,genus::genus squirrel,species::arabian monocle (scolopsis ghanam),genus::genus naso
species::axilspot hogfish (bodianus axillaris),genus::genus siganus,genus::genus chromis,species::axilspot hogfish (bodianus axillaris),species::axilspot hogfish (bodianus axillaris),genus::genus siganus
species::barred (hemigymnus fasciatus),genus::genus soldier,genus::genus naso,species::barred (hemigymnus fasciatus),species::barred (hemigymnus fasciatus),genus::genus soldier
species::bicolor (labroides bicolor),genus::genus squirrel,genus::genus soldier,species::bicolor (labroides bicolor),species::bicolor (labroides bicolor),genus::genus squirrel
species::bird wrasse (gomphosus caeruleus),species::axilspot hogfish (bodianus axillaris),genus::genus squirrel,species::bird wrasse (gomphosus caeruleus),species::bird wrasse (gomphosus caeruleus),species::arabian monocle (scolopsis ghanam)
species::black saddled toby (canthigaster valentini),species::barred (hemigymnus fasciatus),species::axilspot hogfish (bodianus axillaris),species::black saddled toby (canthigaster valentini),species::black saddled toby (canthigaster valentini),species::axilspot hogfish (bodianus axillaris)
species::blackeye (hemigymnus melapterus),species::bicolor (labroides bicolor),species::barred (hemigymnus fasciatus),species::black-backed (chaetodon melannotus),species::black-lipped (chaetodon kleinii),species::barred (hemigymnus fasciatus)
species::blue-green (chromis viridis),species::bird wrasse (gomphosus caeruleus),species::bicolor (labroides bicolor),species::black-lipped (chaetodon kleinii),species::blackeye (hemigymnus melapterus),species::bicolor (labroides bicolor)
species::blue-streak (labroides dimidiatus),species::black-lipped (chaetodon kleinii),species::bird wrasse (gomphosus caeruleus),species::blackeye (hemigymnus melapterus),species::blacktip (epinephelus fasciatus),species::bird wrasse (gomphosus caeruleus)
species::bluefin (caranx melampygus),species::blackeye (hemigymnus melapterus),species::black-backed (chaetodon melannotus),species::blue-green (chromis viridis),species::blue-green (chromis viridis),species::black saddled toby (canthigaster valentini)
species::brown pigmy (centropyge multispinis),species::blacktip (epinephelus fasciatus),species::black-lipped (chaetodon kleinii),species::blue-streak (labroides dimidiatus),species::blue-streak (labroides dimidiatus),species::black-lipped (chaetodon kleinii)
species::brown tang (zebrasoma scopas),species::blue-streak (labroides dimidiatus),species::blackeye (hemigymnus melapterus),species::bluefin (caranx melampygus),species::bluefin (caranx melampygus),species::blackeye (hemigymnus melapterus)
species::bullethead (chlorurus sordidus),species::bluefin (caranx melampygus),species::blacktip (epinephelus fasciatus),species::brown pigmy (centropyge multispinis),species::brown pigmy (centropyge multispinis),species::blacktip (epinephelus fasciatus)
species::checkerboard (halichoeres hortulanus),species::brown pigmy (centropyge multispinis),species::blue-green (chromis viridis),species::brown tang (zebrasoma scopas),species::brown tang (zebrasoma scopas),species::blue-green (chromis viridis)
species::disappearing (pseudocheilinus evanidus),species::brown tang (zebrasoma scopas),species::blue-streak (labroides dimidiatus),species::bullethead (chlorurus sordidus),species::bullethead (chlorurus sordidus),species::bluefin (caranx melampygus)
species::eclipse (chaetodon bennetti),species::bullethead (chlorurus sordidus),species::bluefin (caranx melampygus),species::checkerboard (halichoeres hortulanus),species::checkerboard (halichoeres hortulanus),species::brown pigmy (centropyge multispinis)
