taxon_key
family_label::groupers (serranidae)
family_label::parrotfishes (scaridae)
family_label::wrasses (labridae)
genus::genus chromis
genus::genus naso
genus::genus soldier
genus::genus squirrel
species::axilspot hogfish (bodianus axillaris)
species::barred (hemigymnus fasciatus)
species::bicolor (labroides bicolor)
species::bird wrasse (gomphosus caeruleus)
species::blackeye (hemigymnus melapterus)
species::bluefin (caranx melampygus)
species::brown pigmy (centropyge multispinis)
species::brown tang (zebrasoma scopas)
species::bullethead (chlorurus sordidus)
species::disappearing (pseudocheilinus evanidus)
species::eclipse (chaetodon bennetti)
species::elegant unicorn (naso elegans)
species::five-saddle (scarus saber)
species::freckled (paracirrhites forsteri)
species::goldbar (thalassoma hebraicum)
species::green (amblyglyphidodon indicus)
species::humpnose bigeye (monotaxis grandoculis)
species::indian half-and-half (pycnochromis dimidiatus)
species::indian redfin (chaetodon trifasciatus)
species::leopard (cephalopholis leopardus)
species::lined bristletooth (ctenochaetus striatus)
species::linedcheeked (oxycheilinus digramma)
species::longbarbel (parupeneus macronemus)
species::moon (thalassoma lunare)
species::moorish idol (zanclus cornutus)
species::mozambique fangblenny (meiacanthus mossambicus)
species::orange-lined (balistapus undulatus)
species::red (lutjanus bohar)
species::redmouth (aethaloperca rogaa)
species::regal (pygoplites diacanthus)
species::sailfin tang (zebrasoma desjardinii)
species::spotted (chaetodon guttatissimus)
species::sulfur (pomacentrus sulfureus)
species::threadfin (chaetodon auriga)
species::trumpetfish (aulostomus chinensis)
species::tubelip (labrichthys unilineatus)
