standort,koeder,n_videos,mean_distance_to_centroid,median_distance_to_centroid,sd_distance_to_centroid
milimani,control,3,0.2717056082637805,0.27232118456958554,0.022538674138916213
milimani,fischmix,1,0.0,0.0,0.0
milimani,mackerel,3,0.29968116268229356,0.2946551854449523,0.03503885904101884
milimani,sargassum,3,0.22661250058269375,0.21864797068916553,0.03157402899226755
milimani,ulva_gutweed,3,0.2704012486248035,0.2720829476710138,0.02328571398477674
milimani,ulva_salad,4,0.31535371528847506,0.3229471476287352,0.0365350417262712
nursery,algae_strings,3,0.23733572783265974,0.2288221685211295,0.04512533935934168
nursery,algaemix,3,0.272350280430535,0.26341911194007994,0.027481247022595325
nursery,control,1,0.0,0.0,0.0
nursery,mackerel,4,0.3795273626635827,0.38856411554092735,0.05962209879647411
utumbi,control,4,0.29897974934133825,0.2921330168910363,0.038505491279991644
utumbi,fischmix,2,0.17647058823529407,0.17647058823529407,0.0
utumbi,mackerel,3,0.2954597880064564,0.2897792550016063,0.01601887038485289
utumbi,sargassum,3,0.24036267917911167,0.22682304286290902,0.04052332591677347
utumbi,ulva_gutweed,3,0.2310731524118043,0.23716480794873868,0.045751032214892635
utumbi,ulva_salad,3,0.2722566012707907,0.286693731090118,0.03035743695006998
