standort,koeder,n_videos,k_standardized_videos,rarefied_union_richness_mean,rarefied_union_richness_ci95_low,rarefied_union_richness_ci95_high,observed_union_richness,exclude_control
milimani,mackerel,3,1,48.006,34.0,57.0,74,True
milimani,fischmix,1,1,45.0,45.0,45.0,45,True
milimani,sargassum,3,1,44.944,43.0,46.0,63,True
milimani,ulva_gutweed,3,1,44.722,39.0,49.0,66,True
milimani,ulva_salad,4,1,42.72525,31.0,57.0,71,True
nursery,mackerel,4,3,60.12575,56.0,65.0,67,True
nursery,algaemix,3,3,58.0,58.0,58.0,58,True
nursery,algae_strings,3,3,51.0,51.0,51.0,51,True
utumbi,sargassum,3,2,72.0135,70.0,74.0,80,True
utumbi,mackerel,3,2,71.638,67.0,75.0,81,True
utumbi,fischmix,2,2,68.0,68.0,68.0,68,True
utumbi,ulva_salad,3,2,67.6325,64.0,70.0,76,True
utumbi,ulva_gutweed,3,2,66.338,65.0,69.0,74,True
